seed,variant,spawn_clr,reached,collided,min_clr,pedestrian,animal,vehicle,static,cert,brake,hold
0,raw,+17.76,True,False,0.598,0.75,3.05,6.20,0.60,,,
0,safe,+17.76,True,False,0.598,1.96,2.67,9.08,0.60,82,15,0
2,raw,+1.61,True,False,0.613,0.61,2.48,24.71,1.61,,,
2,safe,+1.61,True,False,1.615,2.45,2.48,24.71,1.61,77,52,0
4,raw,+17.05,True,False,0.422,0.51,0.42,,1.97,,,
4,safe,+17.05,True,False,1.386,1.39,2.31,,1.88,78,109,2
5,raw,+2.69,True,False,0.159,0.16,0.40,4.43,0.24,,,
5,safe,+2.69,True,False,0.241,1.36,1.58,4.16,0.24,88,27,15
7,raw,+21.71,True,False,0.345,0.41,0.34,,10.24,,,
7,safe,+21.71,True,False,1.524,1.52,2.44,,11.02,94,17,27
8,raw,+19.01,True,True,-0.305,0.38,-0.31,,0.20,,,
8,safe,+19.01,True,False,0.616,0.98,6.53,,0.62,71,122,5
9,raw,+4.27,True,False,0.283,0.58,0.28,1.67,0.36,,,
9,safe,+4.27,True,False,0.358,0.67,3.90,4.17,0.36,90,30,51
13,raw,+4.54,True,True,-0.007,0.84,2.87,6.44,-0.01,,,
13,safe,+4.54,True,True,-0.007,0.94,4.12,6.44,-0.01,84,127,9
23,raw,+26.43,True,False,0.474,0.47,1.15,,0.49,,,
23,safe,+26.43,True,False,0.274,1.05,5.75,5.00,0.27,64,208,1
31,raw,+5.07,True,True,-0.793,2.81,2.43,4.28,-0.79,,,
31,safe,+5.07,True,True,-0.793,2.81,2.43,4.28,-0.79,92,0,0
