planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
ego,off,0,0,2.0,0.05,True,0,1.142,6.0,3.55,0,1
ego,off,0,1,2.0,0.05,True,0,2.308,6.3,3.24,0,1
ego,off,0,2,2.0,0.05,True,0,1.144,6.9,2.63,0,1
ego,off,0,3,2.0,0.05,True,0,1.404,4.8,3.17,0,1
ego,off,0,4,2.0,0.05,True,0,2.847,4.8,6.01,0,1
ego,off,0,5,2.0,0.05,True,0,2.435,5.1,4.06,0,1
ego,off,1,0,2.0,0.05,True,0,0.903,6.3,4.1,0,1
ego,off,1,1,2.0,0.05,True,0,0.654,8.4,3.7,0,1
ego,off,1,2,2.0,0.05,True,0,2.303,5.1,5.4,0,1
ego,off,1,3,2.0,0.05,True,0,1.092,6.3,2.25,0,1
ego,off,1,4,2.0,0.05,True,0,1.115,7.5,1.52,0,1
ego,off,1,5,2.0,0.05,True,0,1.661,8.1,3.73,0,1
ego,off,2,0,2.0,0.05,True,0,1.969,9.0,4.97,0,1
ego,off,2,1,2.0,0.05,True,0,1.508,6.3,4.95,0,1
ego,off,2,2,2.0,0.05,True,0,0.669,7.8,3.67,0,1
ego,off,2,3,2.0,0.05,True,0,0.618,8.7,1.51,0,1
ego,off,2,4,2.0,0.05,True,0,2.049,5.7,7.01,0,1
ego,off,2,5,2.0,0.05,True,0,0.521,5.4,4.59,0,1
ego,off,3,0,2.0,0.05,True,0,1.104,6.3,2.73,0,1
ego,off,3,1,2.0,0.05,True,0,0.694,16.5,4.17,0,1
ego,off,3,2,2.0,0.05,True,0,1.572,5.4,4.37,0,1
ego,off,3,3,2.0,0.05,True,0,1.572,7.5,3.74,0,1
ego,off,3,4,2.0,0.05,True,0,2.629,4.8,3.43,0,1
ego,off,3,5,2.0,0.05,True,0,0.032,10.8,3.57,0,1
ego,off,4,0,2.0,0.05,True,0,1.975,5.4,3.97,0,1
ego,off,4,1,2.0,0.05,True,0,2.733,5.4,3.9,0,1
ego,off,4,2,2.0,0.05,True,0,2.441,5.4,4.95,0,1
ego,off,4,3,2.0,0.05,True,0,2.27,5.7,5.33,0,1
ego,off,4,4,2.0,0.05,True,0,2.282,6.6,4.47,0,1
ego,off,4,5,2.0,0.05,True,0,1.131,8.7,3.52,0,1
ego,off,5,0,2.0,0.05,True,0,1.679,5.4,2.48,0,1
ego,off,5,1,2.0,0.05,True,0,2.062,6.9,5.01,0,1
ego,off,5,2,2.0,0.05,True,0,1.761,5.7,3.28,0,1
ego,off,5,3,2.0,0.05,True,0,1.025,7.5,2.52,0,1
ego,off,5,4,2.0,0.05,True,0,1.576,5.4,3.38,0,1
ego,off,5,5,2.0,0.05,True,0,1.744,5.1,4.2,0,1
ego,off,6,0,2.0,0.05,True,0,2.644,4.8,3.43,0,1
ego,off,6,1,2.0,0.05,True,0,2.173,5.4,3.55,0,1
ego,off,6,2,2.0,0.05,True,0,0.845,9.3,3.52,0,1
ego,off,6,3,2.0,0.05,True,0,1.193,5.1,4.93,0,1
ego,off,6,4,2.0,0.05,True,0,2.512,5.4,2.68,0,1
ego,off,6,5,2.0,0.05,True,0,1.11,6.6,2.3,0,1
ego,off,7,0,2.0,0.05,True,0,2.489,4.8,3.72,0,1
ego,off,7,1,2.0,0.05,True,0,1.175,6.6,5.26,0,1
ego,off,7,2,2.0,0.05,True,0,0.683,9.0,2.97,0,1
