vmax,seed,ep,n_movers,ours_reach,ours_t,ours_clr,ours_coll,ego_reach,ego_t,ego_clr,ego_coll,sando_reach,sando_t,sando_clr,sando_coll
3.0,0,0,1,1,5.7,1.332,0,1,7.2,-0.033,1,0,18.9,3.202,0
3.0,0,1,2,1,5.4,2.175,0,1,4.5,1.153,0,0,18.9,2.825,0
3.0,0,2,2,1,4.8,1.534,0,1,4.8,1.04,0,0,16.2,2.4,0
3.0,0,3,2,1,4.8,1.426,0,1,5.1,0.872,0,0,31.2,0.888,0
3.0,0,4,1,1,5.4,1.185,0,1,7.2,0.094,0,0,21.0,2.408,0
3.0,0,5,2,1,5.4,1.312,0,1,7.2,-0.002,1,0,25.2,1.404,0
3.0,1,0,3,1,5.1,1.471,0,1,9.0,-0.058,1,0,33.3,1.927,0
3.0,1,1,2,1,5.1,1.619,0,1,5.1,1.393,0,0,27.0,2.81,0
3.0,1,2,1,1,5.4,1.398,0,1,5.1,0.866,0,0,16.8,3.521,0
3.0,1,3,1,1,5.1,1.841,0,1,5.1,1.097,0,0,24.0,2.178,0
3.0,1,4,4,1,5.1,1.291,0,1,5.7,0.977,0,0,17.4,2.406,0
3.0,1,5,2,1,6.9,1.426,0,1,4.8,1.048,0,0,14.7,1.196,0
3.0,2,0,2,1,4.8,1.366,0,1,5.1,0.776,0,0,13.8,2.903,0
3.0,2,1,2,1,5.4,1.398,0,1,6.6,0.423,0,0,23.4,1.517,0
3.0,2,2,2,1,5.1,1.556,0,1,4.8,0.854,0,0,27.0,2.376,0
3.0,2,3,4,1,7.2,1.582,0,1,6.9,0.182,0,0,16.2,0.148,0
3.0,2,4,1,1,5.4,1.451,0,1,6.6,0.747,0,0,16.8,2.934,0
3.0,2,5,2,1,5.4,2.092,0,0,17.4,0.424,0,0,18.3,2.151,0
3.0,3,0,2,1,6.0,2.169,0,1,5.1,0.966,0,0,16.5,2.906,0
3.0,3,1,2,1,4.8,1.475,0,1,4.5,1.213,0,0,15.6,3.553,0
3.0,3,2,1,1,5.1,1.471,0,1,6.9,-0.026,1,0,25.2,3.13,0
3.0,3,3,2,1,6.0,2.399,0,1,6.9,0.223,0,0,23.7,2.281,0
3.0,3,4,2,1,8.4,1.306,0,1,7.2,0.184,0,0,22.2,3.436,0
3.0,3,5,5,1,5.4,1.313,0,1,9.9,-0.266,1,0,14.7,1.779,0
3.0,4,0,3,1,5.4,1.308,0,1,7.2,0.196,0,0,17.4,1.733,0
3.0,4,1,1,1,5.1,1.603,0,1,4.8,0.823,0,0,26.4,3.415,0
3.0,4,2,2,1,5.4,1.363,0,1,6.9,0.039,0,0,17.4,2.093,0
3.0,4,3,1,1,6.6,1.589,0,1,5.1,0.911,0,0,15.0,1.616,0
3.0,4,4,3,1,6.0,1.383,0,0,15.0,0.089,0,0,31.2,2.439,0
3.0,4,5,1,1,5.1,1.925,0,1,4.8,0.95,0,0,16.5,2.199,0
3.0,5,0,2,1,5.1,1.547,0,1,6.9,-0.245,1,0,17.4,1.469,0
3.0,5,1,3,1,6.0,1.205,0,1,6.9,-0.055,1,0,17.4,2.385,0
3.0,5,2,1,1,5.4,2.218,0,1,6.6,0.592,0,0,38.4,2.65,0
3.0,5,3,4,1,4.8,1.565,0,1,4.8,1.069,0,0,18.9,1.42,0
3.0,5,4,1,1,5.1,1.479,0,1,6.9,-0.019,1,0,17.4,3.838,0
3.0,5,5,1,1,5.4,1.353,0,1,6.9,0.039,0,0,22.2,1.805,0
3.0,6,0,1,1,5.7,1.632,0,1,6.6,0.777,0,0,18.3,2.969,0
3.0,6,1,2,1,5.1,1.633,0,1,5.1,0.877,0,0,25.2,1.779,0
3.0,6,2,3,1,6.0,1.348,0,1,6.3,0.502,0,0,14.4,2.418,0
3.0,6,3,2,1,4.8,1.296,0,1,4.8,0.854,0,0,25.5,2.04,0
3.0,6,4,1,1,4.8,1.787,0,1,4.8,0.859,0,0,17.4,3.923,0
3.0,6,5,1,1,5.4,2.391,0,1,6.9,0.449,0,0,20.4,2.368,0
3.0,7,0,2,1,5.4,2.167,0,1,4.8,0.887,0,0,17.4,0.924,0
3.0,7,1,3,1,5.7,1.487,0,1,6.9,0.025,0,0,28.5,1.286,0
3.0,7,2,3,1,5.1,1.383,0,1,4.8,0.925,0,0,19.5,1.878,0
3.0,7,3,8,1,5.1,1.529,0,1,4.5,0.757,0,0,33.6,0.536,0
3.0,7,4,1,1,4.8,1.694,0,1,4.5,0.977,0,0,17.7,1.957,0
3.0,7,5,3,1,5.4,1.486,0,1,6.6,0.693,0,0,19.5,2.969,0
3.0,8,0,3,1,5.7,1.293,0,1,5.1,1.436,0,0,23.4,0.201,0
3.0,8,1,5,1,6.0,1.892,0,0,13.5,0.051,0,0,16.5,0.064,0
3.0,8,2,5,1,6.0,1.268,0,1,5.1,0.98,0,0,18.3,1.526,0
3.0,8,3,2,1,4.8,1.178,0,1,4.8,0.801,0,0,17.4,2.747,0
3.0,8,4,3,1,6.9,1.414,0,1,6.9,-0.094,1,0,31.2,0.026,0
3.0,8,5,3,1,6.0,1.283,0,1,6.9,1.008,0,0,16.8,3.135,0
3.0,9,0,2,1,5.4,1.543,0,1,6.9,0.011,0,0,17.4,2.526,0
3.0,9,1,3,1,6.0,1.396,0,1,6.3,0.385,0,0,16.2,-0.233,1
3.0,9,2,5,1,5.7,1.387,0,1,7.5,1.067,0,0,23.7,3.364,0
3.0,9,3,6,1,5.1,1.261,0,1,6.6,1.18,0,0,23.7,0.848,0
3.0,9,4,2,1,4.8,1.83,0,1,6.6,0.433,0,0,18.0,0.328,0
3.0,9,5,2,1,6.0,1.482,0,1,5.1,1.36,0,0,32.7,1.486,0
3.0,10,0,2,1,6.9,1.137,0,1,4.5,0.853,0,0,15.6,3.507,0
3.0,10,1,1,1,6.6,1.724,0,1,6.3,0.476,0,0,21.0,2.903,0
3.0,10,2,1,1,5.1,1.525,0,1,5.1,1.604,0,0,14.4,2.307,0
3.0,10,3,1,1,6.3,1.578,0,1,6.6,0.362,0,0,17.7,2.901,0
3.0,10,4,3,1,6.3,1.237,0,1,4.8,0.905,0,0,15.0,-0.08,1
3.0,10,5,5,1,6.3,1.539,0,1,5.1,0.834,0,0,16.2,1.488,0
3.0,11,0,4,1,6.0,2.228,0,1,6.3,-0.344,1,0,14.7,1.096,0
3.0,11,1,2,1,5.1,1.477,0,1,7.2,0.007,0,0,15.0,1.73,0
3.0,11,2,1,1,7.2,1.209,0,1,8.1,0.04,0,0,19.5,2.569,0
3.0,11,3,2,1,5.4,1.314,0,1,5.7,1.392,0,0,31.2,2.569,0
3.0,11,4,2,1,5.4,1.256,0,1,8.7,-0.039,1,0,16.2,3.294,0
3.0,11,5,4,1,5.4,2.07,0,1,4.8,0.993,0,0,18.0,1.685,0
3.0,12,0,3,1,6.0,1.797,0,1,6.3,0.142,0,0,18.9,1.967,0
3.0,12,1,7,1,6.0,1.543,0,1,11.4,0.097,0,0,15.3,0.816,0
3.0,12,2,4,1,5.1,1.95,0,1,6.6,0.694,0,0,21.6,3.352,0
3.0,12,3,5,1,6.3,0.628,0,1,4.5,1.118,0,0,15.3,1.106,0
3.0,12,4,5,1,5.7,1.528,0,1,5.7,0.945,0,0,22.5,0.439,0
3.0,12,5,1,1,5.1,1.227,0,1,5.1,1.397,0,0,14.1,4.171,0
