planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
bspline,on,0,0,2.0,0.05,True,0,2.119,2.1,1.5,0,0
bspline,on,0,1,2.0,0.05,True,0,1.118,2.4,1.5,0,0
bspline,on,0,2,2.0,0.05,True,0,1.218,2.1,1.5,0,0
bspline,on,0,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,0,4,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,0,5,2.0,0.05,True,0,1.375,2.4,1.5,0,0
bspline,on,1,0,2.0,0.05,True,0,1.963,2.1,1.5,0,0
bspline,on,1,1,2.0,0.05,True,0,1.314,2.1,1.5,0,0
bspline,on,1,2,2.0,0.05,True,0,2.196,2.1,1.5,0,0
bspline,on,1,3,2.0,0.05,True,0,1.307,2.1,1.5,0,0
bspline,on,1,4,2.0,0.05,True,0,1.641,2.1,1.5,0,0
bspline,on,1,5,2.0,0.05,True,0,1.453,2.1,1.5,0,0
bspline,on,2,0,2.0,0.05,True,0,1.42,2.1,1.5,0,0
bspline,on,2,1,2.0,0.05,True,0,2.092,2.1,1.5,0,0
bspline,on,2,2,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,2,3,2.0,0.05,True,0,1.31,3.6,2.58,0,0
bspline,on,2,4,2.0,0.05,True,0,2.194,2.1,1.5,0,0
bspline,on,2,5,2.0,0.05,True,0,1.285,3.0,1.5,0,0
bspline,on,3,0,2.0,0.05,True,0,1.923,2.1,1.5,0,0
bspline,on,3,1,2.0,0.05,True,0,1.179,2.1,1.5,0,0
bspline,on,3,2,2.0,0.05,True,0,2.944,2.1,1.5,0,0
bspline,on,3,3,2.0,0.05,True,0,2.198,2.1,1.5,0,0
bspline,on,3,4,2.0,0.05,True,0,2.133,2.1,1.5,0,0
bspline,on,3,5,2.0,0.05,True,0,1.068,2.1,1.5,0,0
bspline,on,4,0,2.0,0.05,True,0,1.939,2.1,1.5,0,0
bspline,on,4,1,2.0,0.05,True,0,2.119,2.1,1.5,0,0
bspline,on,4,2,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,4,3,2.0,0.05,True,0,2.197,2.1,1.5,0,0
bspline,on,4,4,2.0,0.05,True,0,1.356,2.1,1.5,0,0
bspline,on,4,5,2.0,0.05,True,0,2.072,2.1,1.5,0,0
bspline,on,5,0,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,5,1,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,5,2,2.0,0.05,True,0,2.944,2.1,1.5,0,0
bspline,on,5,3,2.0,0.05,True,0,1.64,2.4,1.5,0,0
bspline,on,5,4,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,5,5,2.0,0.05,True,0,2.201,2.1,1.5,0,0
bspline,on,6,0,2.0,0.05,True,0,2.201,2.1,1.5,0,0
bspline,on,6,1,2.0,0.05,True,0,2.197,2.1,1.5,0,0
bspline,on,6,2,2.0,0.05,True,0,1.201,2.4,1.5,0,0
bspline,on,6,3,2.0,0.05,True,0,2.201,2.1,1.5,0,0
bspline,on,6,4,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,6,5,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,7,0,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,7,1,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,7,2,2.0,0.05,True,0,2.017,2.4,1.5,0,0
bspline,on,7,3,2.0,0.05,True,0,1.851,2.4,1.5,0,0
bspline,on,7,4,2.0,0.05,True,0,1.122,2.1,1.5,0,0
bspline,on,7,5,2.0,0.05,True,0,0.91,2.1,1.5,0,0
bspline,on,8,0,2.0,0.05,True,0,1.442,2.4,1.5,0,0
bspline,on,8,1,2.0,0.05,True,0,1.695,2.1,1.5,0,0
bspline,on,8,2,2.0,0.05,True,0,1.515,2.1,1.5,0,0
bspline,on,8,3,2.0,0.05,True,0,1.262,2.4,1.5,0,0
bspline,on,8,4,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,8,5,2.0,0.05,True,0,1.021,3.3,2.85,0,0
bspline,on,9,0,2.0,0.05,True,0,1.75,2.1,1.5,0,0
bspline,on,9,1,2.0,0.05,True,0,6.879,2.1,1.5,0,0
bspline,on,9,2,2.0,0.05,True,0,1.259,2.4,1.5,0,0
bspline,on,9,3,2.0,0.05,True,0,1.0,2.4,2.32,0,0
bspline,on,9,4,2.0,0.05,True,0,1.452,2.1,1.5,0,0
bspline,on,9,5,2.0,0.05,True,0,1.218,2.1,1.5,0,0
bspline,on,10,0,2.0,0.05,True,0,2.044,2.4,1.5,0,0
bspline,on,10,1,2.0,0.05,True,0,2.201,2.1,1.5,0,0
bspline,on,10,2,2.0,0.05,True,0,1.621,2.1,1.5,0,0
bspline,on,10,3,2.0,0.05,True,0,2.187,2.1,1.5,0,0
bspline,on,10,4,2.0,0.05,True,0,2.161,2.1,1.5,0,0
bspline,on,10,5,2.0,0.05,True,0,1.668,2.4,2.51,0,0
bspline,on,11,0,2.0,0.05,True,0,1.568,3.0,2.61,0,0
bspline,on,11,1,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,11,2,2.0,0.05,True,0,1.668,2.1,1.5,0,0
bspline,on,11,3,2.0,0.05,True,0,1.64,2.4,1.5,0,0
bspline,on,11,4,2.0,0.05,True,0,1.368,3.0,2.73,0,0
bspline,on,11,5,2.0,0.05,True,0,1.172,2.1,1.5,0,0
bspline,on,12,0,2.0,0.05,True,0,1.592,2.7,2.63,0,0
bspline,on,12,1,2.0,0.05,True,0,1.961,2.1,1.5,0,0
bspline,on,12,2,2.0,0.05,True,0,1.13,2.1,1.5,0,0
bspline,on,12,3,2.0,0.05,True,0,0.98,2.1,1.5,0,0
bspline,on,12,4,2.0,0.05,True,0,1.197,2.7,2.56,0,0
bspline,on,12,5,2.0,0.05,True,0,1.248,2.1,1.5,0,0
bspline,on,13,0,2.0,0.05,True,0,1.397,2.4,2.66,0,0
bspline,on,13,1,2.0,0.05,True,0,2.152,2.1,1.5,0,0
bspline,on,13,2,2.0,0.05,True,0,2.163,2.1,1.5,0,0
bspline,on,13,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,13,4,2.0,0.05,True,0,1.247,2.1,1.5,0,0
bspline,on,13,5,2.0,0.05,True,0,1.338,2.1,1.5,0,0
bspline,on,14,0,2.0,0.05,True,0,1.301,2.4,1.5,0,0
bspline,on,14,1,2.0,0.05,True,0,2.168,2.1,1.5,0,0
bspline,on,14,2,2.0,0.05,True,0,4.781,2.1,1.5,0,0
bspline,on,14,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,14,4,2.0,0.05,True,0,2.116,2.1,1.5,0,0
bspline,on,14,5,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,15,0,2.0,0.05,True,0,1.237,2.4,1.5,0,0
bspline,on,15,1,2.0,0.05,True,0,2.145,2.1,1.5,0,0
bspline,on,15,2,2.0,0.05,True,0,2.203,2.1,1.5,0,0
bspline,on,15,3,2.0,0.05,True,0,0.847,2.7,2.32,0,0
bspline,on,15,4,2.0,0.05,True,0,1.181,2.7,2.54,0,0
bspline,on,15,5,2.0,0.05,True,0,1.002,2.7,2.8,0,0
bspline,on,16,0,2.0,0.05,True,0,1.729,2.1,1.5,0,0
bspline,on,16,1,2.0,0.05,True,0,1.181,2.7,2.32,0,0
bspline,on,16,2,2.0,0.05,True,0,1.151,2.1,1.5,0,0
bspline,on,16,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,16,4,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,16,5,2.0,0.05,True,0,2.153,2.1,1.5,0,0
bspline,on,17,0,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,17,1,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,17,2,2.0,0.05,True,0,1.206,2.4,1.5,0,0
bspline,on,17,3,2.0,0.05,True,0,2.201,2.1,1.5,0,0
bspline,on,17,4,2.0,0.05,True,0,3.291,2.1,1.5,0,0
bspline,on,17,5,2.0,0.05,True,0,2.197,2.1,1.5,0,0
bspline,on,18,0,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,18,1,2.0,0.05,True,0,1.526,2.7,2.49,0,0
bspline,on,18,2,2.0,0.05,True,0,1.447,2.7,2.62,0,0
bspline,on,18,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,18,4,2.0,0.05,True,0,2.195,2.1,1.5,0,0
bspline,on,18,5,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,19,0,2.0,0.05,True,0,9.808,2.1,1.5,0,0
bspline,on,19,1,2.0,0.05,True,0,1.19,2.4,2.63,0,0
bspline,on,19,2,2.0,0.05,True,0,1.081,2.4,1.5,0,0
bspline,on,19,3,2.0,0.05,True,0,1.717,2.1,1.5,0,0
bspline,on,19,4,2.0,0.05,True,0,1.366,2.1,1.5,0,0
bspline,on,19,5,2.0,0.05,True,0,0.999,2.4,1.5,0,0
bspline,on,0,0,3.0,0.05,True,0,2.067,1.8,1.5,0,0
bspline,on,0,1,3.0,0.05,True,0,0.972,1.8,1.5,0,0
bspline,on,0,2,3.0,0.05,True,0,1.626,2.1,1.5,0,0
bspline,on,0,3,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,on,0,4,3.0,0.05,True,0,2.218,1.8,1.5,0,0
bspline,on,0,5,3.0,0.05,True,0,1.437,2.1,1.5,0,0
bspline,on,1,0,3.0,0.05,True,0,2.067,1.8,1.5,0,0
bspline,on,1,1,3.0,0.05,True,0,1.196,1.8,1.5,0,0
bspline,on,1,2,3.0,0.05,True,0,2.212,1.8,1.5,0,0
bspline,on,1,3,3.0,0.05,True,0,0.889,1.8,1.5,0,0
bspline,on,1,4,3.0,0.05,True,0,1.791,1.8,1.5,0,0
bspline,on,1,5,3.0,0.05,True,0,1.594,1.8,1.5,0,0
bspline,on,2,0,3.0,0.05,True,0,1.544,1.8,1.5,0,0
bspline,on,2,1,3.0,0.05,True,0,2.11,1.8,1.5,0,0
bspline,on,2,2,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,on,2,3,3.0,0.05,True,0,2.498,2.7,2.49,0,0
bspline,on,2,4,3.0,0.05,True,0,2.213,1.8,1.5,0,0
bspline,on,2,5,3.0,0.05,True,0,1.305,2.7,1.5,0,0
bspline,on,3,0,3.0,0.05,True,0,2.088,1.8,1.5,0,0
