planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
ego,on,0,0,2.0,0.05,True,0,1.162,9.0,3.28,0,0
ego,on,0,1,2.0,0.05,True,0,1.255,6.9,1.5,0,0
ego,on,0,2,2.0,0.05,True,0,1.719,6.6,1.5,0,0
ego,on,0,3,2.0,0.05,True,0,1.582,7.8,3.7,0,0
ego,on,0,4,2.0,0.05,True,0,1.499,7.8,3.43,0,0
ego,on,0,5,2.0,0.05,True,0,1.75,8.1,3.78,0,0
ego,on,1,0,2.0,0.05,True,0,1.039,9.9,3.53,2,0
ego,on,1,1,2.0,0.05,True,0,1.748,6.9,1.5,0,0
ego,on,1,2,2.0,0.05,True,0,1.291,9.0,3.81,1,0
ego,on,1,3,2.0,0.05,True,0,1.27,6.9,1.5,0,0
ego,on,1,4,2.0,0.05,True,0,1.26,8.1,3.57,0,0
ego,on,1,5,2.0,0.05,True,0,1.23,7.8,3.03,0,0
ego,on,2,0,2.0,0.05,True,0,1.624,7.2,1.5,0,0
ego,on,2,1,2.0,0.05,True,0,1.164,7.8,1.69,0,0
ego,on,2,2,2.0,0.05,True,0,1.302,8.1,3.0,0,0
ego,on,2,3,2.0,0.05,True,0,1.375,9.6,2.78,2,0
ego,on,2,4,2.0,0.05,True,0,1.063,8.4,3.2,0,0
ego,on,2,5,2.0,0.05,True,0,1.387,8.4,3.54,0,0
ego,on,3,0,2.0,0.05,True,0,1.204,7.5,1.5,0,0
ego,on,3,1,2.0,0.05,True,0,1.561,6.6,1.5,0,0
ego,on,3,2,2.0,0.05,True,0,1.206,7.5,1.5,0,0
ego,on,3,3,2.0,0.05,True,0,1.727,8.4,4.11,0,0
ego,on,3,4,2.0,0.05,True,0,1.963,7.5,3.8,0,0
ego,on,3,5,2.0,0.05,True,0,1.467,7.2,1.5,0,0
ego,on,4,0,2.0,0.05,True,0,1.206,8.7,3.04,1,0
ego,on,4,1,2.0,0.05,True,0,1.331,7.8,3.03,0,0
ego,on,4,2,2.0,0.05,True,0,1.512,7.8,3.03,0,0
ego,on,4,3,2.0,0.05,True,0,1.373,7.2,1.5,0,0
ego,on,4,4,2.0,0.05,True,0,1.66,8.4,4.08,0,0
ego,on,4,5,2.0,0.05,True,0,1.135,6.6,1.5,0,0
ego,on,5,0,2.0,0.05,True,0,1.551,8.4,3.49,0,0
ego,on,5,1,2.0,0.05,True,0,1.351,8.7,3.02,0,0
ego,on,5,2,2.0,0.05,True,0,1.376,7.8,3.77,0,0
ego,on,5,3,2.0,0.05,True,0,1.351,10.5,2.98,2,0
ego,on,5,4,2.0,0.05,True,0,1.57,7.8,3.24,0,0
ego,on,5,5,2.0,0.05,True,0,1.311,7.2,1.5,0,0
ego,on,6,0,2.0,0.05,True,0,1.229,7.2,1.5,0,0
ego,on,6,1,2.0,0.05,True,0,1.259,7.5,1.5,0,0
ego,on,6,2,2.0,0.05,True,0,1.246,6.9,1.5,0,0
ego,on,6,3,2.0,0.05,True,0,1.375,8.1,3.93,0,0
ego,on,6,4,2.0,0.05,True,0,1.332,8.4,1.74,1,0
ego,on,6,5,2.0,0.05,True,0,1.544,7.8,3.76,0,0
ego,on,7,0,2.0,0.05,True,0,1.563,8.1,3.82,0,0
ego,on,7,1,2.0,0.05,True,0,1.185,9.6,4.67,2,0
ego,on,7,2,2.0,0.05,True,0,1.611,6.9,1.5,0,0
ego,on,7,3,2.0,0.05,True,0,1.229,8.1,3.46,0,0
ego,on,7,4,2.0,0.05,True,0,1.305,6.3,1.5,0,0
ego,on,7,5,2.0,0.05,True,0,1.454,7.5,1.5,0,0
ego,on,8,0,2.0,0.05,True,0,1.353,8.4,3.19,0,0
ego,on,8,1,2.0,0.05,True,0,1.307,9.3,2.73,2,0
ego,on,8,2,2.0,0.05,True,0,1.746,7.8,3.93,0,0
ego,on,8,3,2.0,0.05,True,0,1.324,6.6,1.5,0,0
ego,on,8,4,2.0,0.05,True,0,1.442,7.5,1.5,0,0
ego,on,8,5,2.0,0.05,True,0,1.639,7.8,3.86,0,0
ego,on,9,0,2.0,0.05,True,0,1.572,7.8,3.23,0,0
ego,on,9,1,2.0,0.05,True,0,1.061,8.7,3.21,0,0
ego,on,9,2,2.0,0.05,True,0,1.309,7.8,3.12,0,0
ego,on,9,3,2.0,0.05,True,0,1.931,9.6,4.38,0,0
ego,on,9,4,2.0,0.05,True,0,1.271,7.8,1.5,0,0
ego,on,9,5,2.0,0.05,True,0,1.677,6.9,2.85,0,0
ego,on,10,0,2.0,0.05,True,0,2.137,9.3,2.98,1,0
ego,on,10,1,2.0,0.05,True,0,1.318,7.2,1.5,0,0
ego,on,10,2,2.0,0.05,True,0,1.791,6.9,1.5,0,0
ego,on,10,3,2.0,0.05,True,0,1.881,9.3,4.01,0,0
ego,on,10,4,2.0,0.05,True,0,1.079,9.3,2.98,1,0
ego,on,10,5,2.0,0.05,True,0,1.463,8.1,4.01,0,0
ego,on,11,0,2.0,0.05,True,0,2.117,8.7,4.08,0,0
ego,on,11,1,2.0,0.05,True,0,1.574,7.8,3.79,0,0
ego,on,11,2,2.0,0.05,True,0,1.618,8.1,3.9,0,0
ego,on,11,3,2.0,0.05,True,0,1.207,7.5,1.5,0,0
ego,on,11,4,2.0,0.05,True,0,1.262,7.8,1.5,0,0
ego,on,11,5,2.0,0.05,True,0,1.355,9.0,3.33,1,0
ego,on,12,0,2.0,0.05,True,0,0.992,10.8,2.61,4,0
ego,on,12,1,2.0,0.05,True,0,1.263,8.4,3.01,0,0
ego,on,12,2,2.0,0.05,True,0,2.275,6.9,1.5,0,0
ego,on,12,3,2.0,0.05,True,0,1.43,8.1,2.96,2,0
ego,on,12,4,2.0,0.05,True,0,1.766,8.1,3.63,0,0
ego,on,12,5,2.0,0.05,True,0,1.559,6.9,1.5,0,0
ego,on,13,0,2.0,0.05,True,0,1.272,10.5,3.33,0,0
ego,on,13,1,2.0,0.05,True,0,1.305,7.5,1.5,0,0
ego,on,13,2,2.0,0.05,True,0,1.841,7.2,1.5,0,0
ego,on,13,3,2.0,0.05,True,0,1.231,8.7,1.92,1,0
