planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
quintic,off,0,0,2.0,0.05,True,0,0.521,6.0,1.5,0,0
quintic,off,0,1,2.0,0.05,True,1,-0.113,6.0,1.5,0,0
quintic,off,0,2,2.0,0.05,True,1,-0.11,6.0,1.5,0,0
quintic,off,0,3,2.0,0.05,True,0,0.521,6.0,1.5,0,0
quintic,off,0,4,2.0,0.05,True,0,0.521,6.0,1.5,0,0
quintic,off,0,5,2.0,0.05,True,0,0.343,6.0,1.5,0,0
quintic,off,1,0,2.0,0.05,True,0,0.174,6.0,1.5,0,0
quintic,off,1,1,2.0,0.05,True,1,-0.073,6.0,1.5,0,0
quintic,off,1,2,2.0,0.05,True,0,0.519,6.0,1.5,0,0
quintic,off,1,3,2.0,0.05,True,1,-0.115,6.0,1.5,0,0
quintic,off,1,4,2.0,0.05,True,0,0.01,6.0,1.5,0,0
quintic,off,1,5,2.0,0.05,True,0,0.4,6.0,1.5,0,0
quintic,off,2,0,2.0,0.05,True,0,0.082,6.0,1.5,0,0
quintic,off,2,1,2.0,0.05,True,0,0.48,6.0,1.5,0,0
quintic,off,2,2,2.0,0.05,True,0,0.521,6.0,1.5,0,0
quintic,off,2,3,2.0,0.05,True,0,0.29,6.0,1.5,0,0
quintic,off,2,4,2.0,0.05,True,0,0.519,6.0,1.5,0,0
quintic,off,2,5,2.0,0.05,True,0,0.285,6.0,1.5,0,0
quintic,off,3,0,2.0,0.05,True,0,0.403,6.0,1.5,0,0
quintic,off,3,1,2.0,0.05,True,1,-0.074,6.0,1.5,0,0
quintic,off,3,2,2.0,0.05,True,0,0.521,6.0,1.5,0,0
quintic,off,3,3,2.0,0.05,True,0,0.51,6.0,1.5,0,0
quintic,off,3,4,2.0,0.05,True,0,0.52,6.0,1.5,0,0
quintic,off,3,5,2.0,0.05,True,0,0.344,6.0,1.5,0,0
quintic,off,4,0,2.0,0.05,True,0,0.521,6.0,1.5,0,0
quintic,off,4,1,2.0,0.05,True,0,0.306,6.0,1.5,0,0
quintic,off,4,2,2.0,0.05,True,0,0.506,6.0,1.5,0,0
quintic,off,4,3,2.0,0.05,True,0,0.525,6.0,1.5,0,0
