planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
quintic,on,0,0,2.0,0.05,True,0,1.986,10.8,10.12,0,0
quintic,on,0,1,2.0,0.05,True,0,1.971,10.8,10.12,0,0
quintic,on,0,2,2.0,0.05,True,0,2.634,11.7,11.61,0,0
quintic,on,0,3,2.0,0.05,True,0,1.556,6.9,2.87,0,0
quintic,on,0,4,2.0,0.05,True,0,1.986,10.8,10.12,0,0
quintic,on,0,5,2.0,0.05,True,0,2.815,11.7,11.61,0,0
quintic,on,1,0,2.0,0.05,True,0,2.556,11.7,11.61,0,0
quintic,on,1,1,2.0,0.05,True,0,2.817,11.7,11.61,0,0
quintic,on,1,2,2.0,0.05,True,0,1.986,10.8,10.12,0,0
quintic,on,1,3,2.0,0.05,True,0,1.971,10.8,10.12,0,0
quintic,on,1,4,2.0,0.05,True,0,1.985,10.8,10.12,0,0
quintic,on,1,5,2.0,0.05,True,0,2.855,11.7,11.61,0,0
quintic,on,2,0,2.0,0.05,True,0,2.817,11.7,11.61,0,0
quintic,on,2,1,2.0,0.05,True,0,1.985,10.8,10.12,0,0
quintic,on,2,2,2.0,0.05,True,0,1.692,7.5,2.99,0,0
quintic,on,2,3,2.0,0.05,True,0,3.894,10.2,7.1,0,0
quintic,on,2,4,2.0,0.05,True,0,1.986,10.8,10.12,0,0
quintic,on,2,5,2.0,0.05,True,0,1.666,11.1,10.47,0,0
quintic,on,3,0,2.0,0.05,True,0,1.978,10.8,10.12,0,0
quintic,on,3,1,2.0,0.05,True,0,1.314,10.8,10.13,0,0
quintic,on,3,2,2.0,0.05,True,0,2.818,11.7,11.61,0,0
quintic,on,3,3,2.0,0.05,True,0,1.989,10.8,10.12,0,0
quintic,on,3,4,2.0,0.05,True,0,1.785,12.6,11.61,0,0
quintic,on,3,5,2.0,0.05,True,0,1.986,10.8,10.12,0,0
quintic,on,4,0,2.0,0.05,True,0,1.949,11.1,10.14,0,0
