planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
septic,off,0,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,0,1,2.0,0.05,True,1,-0.156,6.6,1.5,0,0
septic,off,0,2,2.0,0.05,True,1,-0.143,6.6,1.5,0,0
septic,off,0,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,0,4,2.0,0.05,True,0,1.352,6.6,1.5,0,0
septic,off,0,5,2.0,0.05,True,0,0.442,6.6,1.5,0,0
septic,off,1,0,2.0,0.05,True,0,0.159,6.6,1.5,0,0
septic,off,1,1,2.0,0.05,True,0,0.005,6.6,1.5,0,0
septic,off,1,2,2.0,0.05,True,0,1.362,6.6,1.5,0,0
septic,off,1,3,2.0,0.05,True,1,-0.167,6.6,1.5,0,0
septic,off,1,4,2.0,0.05,True,0,0.112,6.6,1.5,0,0
septic,off,1,5,2.0,0.05,True,0,1.307,6.6,1.5,0,0
septic,off,2,0,2.0,0.05,True,0,0.397,6.6,1.5,0,0
septic,off,2,1,2.0,0.05,True,0,1.3,6.6,1.5,0,0
septic,off,2,2,2.0,0.05,True,0,1.066,6.6,1.5,0,0
septic,off,2,3,2.0,0.05,True,0,0.702,6.6,1.5,0,0
septic,off,2,4,2.0,0.05,True,0,1.358,6.6,1.5,0,0
septic,off,2,5,2.0,0.05,True,0,0.782,6.6,1.5,0,0
septic,off,3,0,2.0,0.05,True,0,0.949,6.6,1.5,0,0
septic,off,3,1,2.0,0.05,True,1,-0.073,6.6,1.5,0,0
septic,off,3,2,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,3,3,2.0,0.05,True,0,1.146,6.6,1.5,0,0
septic,off,3,4,2.0,0.05,True,0,1.374,6.6,1.5,0,0
septic,off,3,5,2.0,0.05,True,0,0.305,6.6,1.5,0,0
septic,off,4,0,2.0,0.05,True,0,1.363,6.6,1.5,0,0
septic,off,4,1,2.0,0.05,True,0,0.712,6.6,1.5,0,0
septic,off,4,2,2.0,0.05,True,0,1.379,6.6,1.5,0,0
septic,off,4,3,2.0,0.05,True,0,1.347,6.6,1.5,0,0
septic,off,4,4,2.0,0.05,True,0,0.521,6.6,1.5,0,0
septic,off,4,5,2.0,0.05,True,1,-0.045,6.6,1.5,0,0
septic,off,5,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,5,1,2.0,0.05,True,0,0.944,6.6,1.5,0,0
septic,off,5,2,2.0,0.05,True,0,1.221,6.6,1.5,0,0
septic,off,5,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,5,4,2.0,0.05,True,0,1.242,6.6,1.5,0,0
septic,off,5,5,2.0,0.05,True,0,1.361,6.6,1.5,0,0
septic,off,6,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,6,1,2.0,0.05,True,0,1.359,6.6,1.5,0,0
septic,off,6,2,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,6,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,6,4,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,6,5,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,7,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,7,1,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,7,2,2.0,0.05,True,1,-0.164,6.6,1.5,0,0
septic,off,7,3,2.0,0.05,True,1,-0.154,6.6,1.5,0,0
septic,off,7,4,2.0,0.05,True,1,-0.152,6.6,1.5,0,0
septic,off,7,5,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,8,0,2.0,0.05,True,0,0.451,6.6,1.5,0,0
septic,off,8,1,2.0,0.05,True,1,-0.092,6.6,1.5,0,0
septic,off,8,2,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,8,3,2.0,0.05,True,1,-0.167,6.6,1.5,0,0
septic,off,8,4,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,8,5,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,9,0,2.0,0.05,True,0,1.361,6.6,1.5,0,0
septic,off,9,1,2.0,0.05,True,0,0.982,6.6,1.5,0,0
septic,off,9,2,2.0,0.05,True,0,0.771,6.6,1.5,0,0
septic,off,9,3,2.0,0.05,True,0,0.072,6.6,1.5,0,0
septic,off,9,4,2.0,0.05,True,0,1.366,6.6,1.5,0,0
septic,off,9,5,2.0,0.05,True,0,0.262,6.6,1.5,0,0
septic,off,10,0,2.0,0.05,True,1,-0.167,6.6,1.5,0,0
septic,off,10,1,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,10,2,2.0,0.05,True,0,1.339,6.6,1.5,0,0
septic,off,10,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,10,4,2.0,0.05,True,0,1.128,6.6,1.5,0,0
septic,off,10,5,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,11,0,2.0,0.05,True,0,2.058,6.6,1.5,0,0
septic,off,11,1,2.0,0.05,True,0,1.344,6.6,1.5,0,0
septic,off,11,2,2.0,0.05,True,0,0.465,6.6,1.5,0,0
septic,off,11,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,11,4,2.0,0.05,True,0,1.33,6.6,1.5,0,0
septic,off,11,5,2.0,0.05,True,0,1.398,6.6,1.5,0,0
septic,off,12,0,2.0,0.05,True,0,1.817,6.6,1.5,0,0
septic,off,12,1,2.0,0.05,True,0,0.357,6.6,1.5,0,0
septic,off,12,2,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,12,3,2.0,0.05,True,0,0.223,6.6,1.5,0,0
septic,off,12,4,2.0,0.05,True,0,0.928,6.6,1.5,0,0
septic,off,12,5,2.0,0.05,True,1,-0.157,6.6,1.5,0,0
septic,off,13,0,2.0,0.05,True,0,0.77,6.6,1.5,0,0
septic,off,13,1,2.0,0.05,True,0,1.336,6.6,1.5,0,0
septic,off,13,2,2.0,0.05,True,0,0.114,6.6,1.5,0,0
septic,off,13,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,13,4,2.0,0.05,True,1,-0.158,6.6,1.5,0,0
septic,off,13,5,2.0,0.05,True,1,-0.166,6.6,1.5,0,0
septic,off,14,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,14,1,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,14,2,2.0,0.05,True,0,1.159,6.6,1.5,0,0
septic,off,14,3,2.0,0.05,True,0,1.384,6.6,1.5,0,0
septic,off,14,4,2.0,0.05,True,0,0.263,6.6,1.5,0,0
septic,off,14,5,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,15,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,15,1,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,15,2,2.0,0.05,True,0,1.352,6.6,1.5,0,0
septic,off,15,3,2.0,0.05,True,0,0.13,6.6,1.5,0,0
septic,off,15,4,2.0,0.05,True,1,-0.155,6.6,1.5,0,0
septic,off,15,5,2.0,0.05,True,0,1.367,6.6,1.5,0,0
septic,off,16,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,16,1,2.0,0.05,True,1,-0.156,6.6,1.5,0,0
septic,off,16,2,2.0,0.05,True,0,0.639,6.6,1.5,0,0
septic,off,16,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,16,4,2.0,0.05,True,0,0.052,6.6,1.5,0,0
septic,off,16,5,2.0,0.05,True,0,1.323,6.6,1.5,0,0
septic,off,17,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,17,1,2.0,0.05,True,0,1.344,6.6,1.5,0,0
septic,off,17,2,2.0,0.05,True,0,0.575,6.6,1.5,0,0
septic,off,17,3,2.0,0.05,True,0,1.356,6.6,1.5,0,0
septic,off,17,4,2.0,0.05,True,0,0.435,6.6,1.5,0,0
septic,off,17,5,2.0,0.05,True,0,1.244,6.6,1.5,0,0
septic,off,18,0,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,18,1,2.0,0.05,True,1,-0.086,6.6,1.5,0,0
septic,off,18,2,2.0,0.05,True,0,0.258,6.6,1.5,0,0
septic,off,18,3,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,18,4,2.0,0.05,True,0,1.362,6.6,1.5,0,0
septic,off,18,5,2.0,0.05,True,0,1.364,6.6,1.5,0,0
septic,off,19,0,2.0,0.05,True,0,0.328,6.6,1.5,0,0
septic,off,19,1,2.0,0.05,True,0,2.65,6.6,1.5,0,0
septic,off,19,2,2.0,0.05,True,0,1.282,6.6,1.5,0,0
septic,off,19,3,2.0,0.05,True,0,1.361,6.6,1.5,0,0
septic,off,19,4,2.0,0.05,True,1,-0.01,6.6,1.5,0,0
septic,off,19,5,2.0,0.05,True,0,1.145,6.6,1.5,0,0
septic,off,0,0,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,0,1,3.0,0.05,True,0,0.001,4.2,1.5,0,0
septic,off,0,2,3.0,0.05,True,0,0.001,4.2,1.5,0,0
septic,off,0,3,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,0,4,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,0,5,3.0,0.05,True,0,0.008,4.2,1.5,0,0
septic,off,1,0,3.0,0.05,True,0,0.026,4.2,1.5,0,0
septic,off,1,1,3.0,0.05,True,0,0.001,4.2,1.5,0,0
septic,off,1,2,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,1,3,3.0,0.05,True,0,0.001,4.2,1.5,0,0
septic,off,1,4,3.0,0.05,True,0,0.014,4.2,1.5,0,0
septic,off,1,5,3.0,0.05,True,1,-0.023,4.2,1.5,0,0
septic,off,2,0,3.0,0.05,True,0,0.004,4.2,1.5,0,0
septic,off,2,1,3.0,0.05,True,0,0.015,4.2,1.5,0,0
septic,off,2,2,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,2,3,3.0,0.05,True,1,-0.033,4.2,1.5,0,0
septic,off,2,4,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,2,5,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,3,0,3.0,0.05,True,0,0.013,4.2,1.5,0,0
septic,off,3,1,3.0,0.05,True,1,-0.004,4.2,1.5,0,0
septic,off,3,2,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,3,3,3.0,0.05,True,0,0.018,4.2,1.5,0,0
septic,off,3,4,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,3,5,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,4,0,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,4,1,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,4,2,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,4,3,3.0,0.05,True,0,0.019,4.2,1.5,0,0
septic,off,4,4,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,4,5,3.0,0.05,True,0,0.001,4.2,1.5,0,0
septic,off,5,0,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,5,1,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,5,2,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,5,3,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,5,4,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,5,5,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,6,0,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,6,1,3.0,0.05,True,0,0.016,4.2,1.5,0,0
septic,off,6,2,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,6,3,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,6,4,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,6,5,3.0,0.05,True,0,0.017,4.2,1.5,0,0
septic,off,7,0,3.0,0.05,True,0,0.017,4.2,1.5,0,0
