planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
septic,on,0,0,2.0,0.05,False,0,2.245,16.5,387.98,0,0
septic,on,0,1,2.0,0.05,False,0,2.843,16.2,440.79,0,0
septic,on,0,2,2.0,0.05,False,0,1.935,16.5,387.46,0,0
septic,on,0,3,2.0,0.05,False,0,1.655,14.4,529.83,0,0
septic,on,0,4,2.0,0.05,True,0,1.424,6.9,1.5,0,0
septic,on,0,5,2.0,0.05,False,0,1.601,16.5,385.19,0,0
septic,on,1,0,2.0,0.05,False,0,2.014,16.5,387.98,0,0
septic,on,1,1,2.0,0.05,False,0,1.744,16.5,387.46,0,0
septic,on,1,2,2.0,0.05,False,0,2.245,16.5,387.98,0,0
septic,on,1,3,2.0,0.05,False,0,2.009,16.5,385.19,0,0
septic,on,1,4,2.0,0.05,False,0,1.633,16.5,385.19,0,0
septic,on,1,5,2.0,0.05,False,0,2.634,16.5,387.98,0,0
septic,on,2,0,2.0,0.05,False,0,2.04,16.5,387.98,0,0
septic,on,2,1,2.0,0.05,False,0,2.22,16.5,387.98,0,0
septic,on,2,2,2.0,0.05,True,0,1.61,9.6,54.72,0,0
septic,on,2,3,2.0,0.05,False,0,2.286,15.0,13.37,0,0
septic,on,2,4,2.0,0.05,False,0,2.241,16.5,387.98,0,0
septic,on,2,5,2.0,0.05,False,0,2.273,16.5,387.98,0,0
septic,on,3,0,2.0,0.05,False,0,2.126,16.5,387.98,0,0
septic,on,3,1,2.0,0.05,False,0,2.725,15.9,477.71,0,0
septic,on,3,2,2.0,0.05,False,0,2.245,16.5,387.98,0,0
septic,on,3,3,2.0,0.05,False,0,2.058,16.5,387.98,0,0
septic,on,3,4,2.0,0.05,False,0,2.256,16.5,387.98,0,0
septic,on,3,5,2.0,0.05,False,0,2.245,16.5,387.98,0,0
septic,on,4,0,2.0,0.05,True,0,1.436,6.9,1.5,0,0
septic,on,4,1,2.0,0.05,False,0,2.328,16.5,387.98,0,0
septic,on,4,2,2.0,0.05,True,0,1.493,6.9,1.5,0,0
septic,on,4,3,2.0,0.05,False,0,2.222,16.5,387.98,0,0
septic,on,4,4,2.0,0.05,False,0,2.127,16.5,387.98,0,0
septic,on,4,5,2.0,0.05,False,0,2.001,16.5,385.19,0,0
septic,on,5,0,2.0,0.05,False,0,1.455,16.5,387.98,0,0
septic,on,5,1,2.0,0.05,False,0,2.245,16.5,387.98,0,0
