seed,ep,eps,reached,collided,min_clr,time_s
0,0,0.01,1,0,1.645,5.4
0,1,0.01,1,0,1.882,4.2
0,2,0.01,1,0,1.206,3.9
0,3,0.01,1,0,1.145,5.1
0,4,0.01,1,0,1.871,3.9
0,5,0.01,1,0,1.763,4.2
0,6,0.01,1,0,1.643,3.9
0,7,0.01,1,0,1.026,5.4
0,8,0.01,1,0,1.618,3.9
0,9,0.01,1,0,1.823,3.9
0,10,0.01,1,0,1.377,7.5
0,11,0.01,1,0,1.445,5.1
0,12,0.01,1,0,1.877,3.9
0,13,0.01,1,0,1.832,3.9
0,14,0.01,1,0,1.082,6.0
0,15,0.01,1,0,1.199,6.3
0,16,0.01,1,0,1.24,5.1
0,17,0.01,1,0,1.764,4.2
0,18,0.01,1,0,1.545,5.1
0,19,0.01,1,0,1.479,4.2
0,20,0.01,1,0,2.354,4.5
0,21,0.01,1,0,1.777,3.9
0,22,0.01,1,0,1.266,5.7
0,23,0.01,1,0,1.428,5.7
0,24,0.01,1,0,1.483,3.9
0,25,0.01,1,0,1.287,5.7
0,26,0.01,1,0,1.122,6.3
0,27,0.01,1,0,1.221,5.1
0,28,0.01,1,0,1.592,3.9
0,29,0.01,1,0,1.789,3.9
0,30,0.01,1,0,1.147,4.8
0,31,0.01,1,0,1.317,6.0
0,32,0.01,1,0,1.776,4.8
0,33,0.01,1,0,1.181,5.4
0,34,0.01,1,0,1.302,4.8
0,35,0.01,1,0,1.664,5.4
0,36,0.01,1,0,1.503,4.5
0,37,0.01,1,0,1.687,3.9
0,38,0.01,1,0,1.783,3.9
0,39,0.01,1,0,1.395,4.5
0,40,0.01,1,0,1.331,5.4
0,41,0.01,1,0,1.312,4.5
0,42,0.01,1,0,1.812,3.9
0,43,0.01,1,0,2.016,3.9
0,44,0.01,1,0,1.454,4.8
0,45,0.01,1,0,1.708,4.5
0,46,0.01,1,0,1.304,4.2
0,47,0.01,1,0,2.571,5.1
0,48,0.01,1,0,1.576,3.9
0,49,0.01,1,0,1.379,3.9
1,0,0.01,1,0,1.476,4.5
1,1,0.01,1,0,1.988,4.2
1,2,0.01,1,0,1.222,6.3
1,3,0.01,1,0,1.74,4.2
1,4,0.01,1,0,1.493,5.1
1,5,0.01,1,0,1.61,4.8
1,6,0.01,1,0,1.656,3.9
1,7,0.01,1,0,1.581,4.5
1,8,0.01,1,0,1.444,4.8
1,9,0.01,1,0,1.617,5.1
1,10,0.01,1,0,1.557,3.9
1,11,0.01,1,0,1.555,4.5
1,12,0.01,1,0,1.283,5.1
1,13,0.01,1,0,1.605,5.4
1,14,0.01,1,0,1.296,5.4
1,15,0.01,1,0,1.344,5.4
1,16,0.01,1,0,1.83,3.9
1,17,0.01,1,0,1.241,4.8
1,18,0.01,1,0,1.409,4.8
1,19,0.01,1,0,1.833,5.1
1,20,0.01,1,0,1.303,3.9
1,21,0.01,1,0,2.25,4.8
1,22,0.01,1,0,2.25,4.8
1,23,0.01,1,0,1.615,4.8
1,24,0.01,1,0,1.478,4.8
1,25,0.01,1,0,1.536,4.8
1,26,0.01,1,0,2.048,5.1
1,27,0.01,1,0,2.636,6.6
1,28,0.01,1,0,1.247,3.9
1,29,0.01,1,0,1.835,5.1
1,30,0.01,1,0,1.521,3.9
1,31,0.01,1,0,1.93,4.2
1,32,0.01,1,0,1.406,5.1
1,33,0.01,1,0,1.929,3.9
1,34,0.01,1,0,1.136,6.0
1,35,0.01,1,0,1.098,4.8
1,36,0.01,1,0,1.409,6.6
1,37,0.01,1,0,1.486,4.5
1,38,0.01,1,0,1.523,5.1
1,39,0.01,1,0,1.512,3.9
1,40,0.01,1,0,1.247,5.4
1,41,0.01,1,0,2.311,4.8
1,42,0.01,1,0,2.386,4.5
1,43,0.01,1,0,1.384,5.7
1,44,0.01,1,0,1.154,5.7
1,45,0.01,1,0,1.716,5.1
1,46,0.01,1,0,1.639,4.5
1,47,0.01,1,0,2.078,4.8
1,48,0.01,1,0,1.468,5.4
1,49,0.01,1,0,1.878,4.5
2,0,0.01,1,0,2.135,4.5
2,1,0.01,1,0,1.62,5.7
2,2,0.01,1,0,1.56,4.8
2,3,0.01,1,0,1.171,5.4
2,4,0.01,1,0,1.926,4.2
2,5,0.01,1,0,1.746,5.7
2,6,0.01,1,0,1.466,4.2
2,7,0.01,1,0,1.977,5.4
2,8,0.01,1,0,1.742,3.9
2,9,0.01,1,0,1.509,3.9
2,10,0.01,1,0,1.369,4.5
2,11,0.01,1,0,1.242,4.5
2,12,0.01,1,0,1.75,4.2
2,13,0.01,1,0,1.387,6.6
2,14,0.01,1,0,1.663,4.2
2,15,0.01,1,0,1.445,5.4
2,16,0.01,1,0,1.777,5.1
2,17,0.01,1,0,1.825,4.2
2,18,0.01,1,0,1.359,6.9
2,19,0.01,1,0,1.621,5.4
2,20,0.01,1,0,1.406,3.9
2,21,0.01,1,0,1.46,5.4
2,22,0.01,1,0,1.665,4.2
2,23,0.01,1,0,1.949,4.2
2,24,0.01,1,0,1.043,4.8
2,25,0.01,1,0,1.702,6.3
2,26,0.01,1,0,1.297,3.6
2,27,0.01,1,0,1.507,5.1
2,28,0.01,1,0,1.41,5.7
2,29,0.01,1,0,1.647,4.2
2,30,0.01,1,0,1.914,3.6
2,31,0.01,1,0,0.956,5.1
2,32,0.01,1,0,2.019,5.1
2,33,0.01,1,0,1.602,3.9
2,34,0.01,1,0,1.326,4.8
2,35,0.01,1,0,1.488,3.9
2,36,0.01,1,0,1.106,5.1
2,37,0.01,1,0,1.703,3.9
2,38,0.01,1,0,2.146,5.1
2,39,0.01,1,0,2.529,4.8
2,40,0.01,1,0,2.005,4.2
2,41,0.01,1,0,1.72,4.2
2,42,0.01,1,0,1.935,4.2
2,43,0.01,1,0,0.821,6.0
2,44,0.01,1,0,1.662,3.9
2,45,0.01,1,0,2.206,5.1
2,46,0.01,1,0,1.698,5.4
2,47,0.01,1,0,1.606,5.4
2,48,0.01,1,0,1.589,4.2
2,49,0.01,1,0,1.208,5.1
3,0,0.01,1,0,1.2,6.0
3,1,0.01,1,0,1.33,3.9
3,2,0.01,1,0,1.756,3.9
3,3,0.01,1,0,2.26,5.1
3,4,0.01,1,0,1.363,4.5
3,5,0.01,1,0,1.391,5.1
3,6,0.01,1,0,1.446,3.9
3,7,0.01,1,0,2.176,3.9
3,8,0.01,1,0,1.77,4.5
3,9,0.01,1,0,1.646,4.5
3,10,0.01,1,0,1.8,3.9
3,11,0.01,1,0,1.648,4.8
3,12,0.01,1,0,1.434,5.1
3,13,0.01,1,0,1.47,3.9
3,14,0.01,1,0,1.12,5.7
3,15,0.01,1,0,2.145,5.1
3,16,0.01,1,0,1.591,4.2
3,17,0.01,1,0,2.019,4.8
3,18,0.01,1,0,1.543,4.5
3,19,0.01,1,0,2.371,4.5
3,20,0.01,1,0,1.373,4.5
3,21,0.01,1,0,1.808,4.2
3,22,0.01,1,0,1.189,6.0
3,23,0.01,1,0,1.492,6.0
3,24,0.01,1,0,1.244,5.1
3,25,0.01,1,0,1.745,4.2
3,26,0.01,1,0,1.539,6.3
3,27,0.01,1,0,1.38,4.5
3,28,0.01,1,0,1.345,5.1
3,29,0.01,1,0,1.535,6.3
3,30,0.01,1,0,1.928,4.2
3,31,0.01,1,0,1.136,7.5
3,32,0.01,1,0,1.377,6.3
3,33,0.01,1,0,1.822,3.9
3,34,0.01,1,0,2.28,4.8
3,35,0.01,1,0,1.256,5.4
3,36,0.01,1,0,1.437,4.5
3,37,0.01,1,0,1.339,4.8
3,38,0.01,1,0,1.76,5.4
3,39,0.01,1,0,2.095,4.2
3,40,0.01,1,0,1.3,5.1
3,41,0.01,1,0,1.193,5.1
3,42,0.01,1,0,1.815,5.1
3,43,0.01,1,0,1.555,4.5
3,44,0.01,1,0,1.505,3.9
3,45,0.01,1,0,1.845,4.2
3,46,0.01,1,0,1.475,4.8
3,47,0.01,1,0,1.674,3.9
3,48,0.01,1,0,1.929,5.1
3,49,0.01,1,0,1.313,5.1
4,0,0.01,1,0,1.887,4.2
4,1,0.01,1,0,1.64,3.9
4,2,0.01,1,0,1.797,3.9
4,3,0.01,1,0,1.525,3.9
4,4,0.01,1,0,1.396,5.1
4,5,0.01,1,0,1.788,4.2
4,6,0.01,1,0,1.41,6.6
4,7,0.01,1,0,1.688,5.1
4,8,0.01,1,0,1.327,5.4
4,9,0.01,1,0,1.088,5.4
4,10,0.01,1,0,1.147,5.4
4,11,0.01,1,0,1.655,5.1
4,12,0.01,1,0,1.791,3.9
4,13,0.01,1,0,1.262,3.9
4,14,0.01,1,0,1.108,5.1
4,15,0.01,1,0,1.836,3.9
4,16,0.01,1,0,1.117,5.4
4,17,0.01,1,0,1.796,4.8
4,18,0.01,1,0,1.668,4.2
4,19,0.01,1,0,1.745,4.2
4,20,0.01,1,0,1.26,5.1
4,21,0.01,1,0,1.639,3.9
4,22,0.01,1,0,1.35,4.8
4,23,0.01,1,0,1.699,4.8
4,24,0.01,1,0,1.864,4.2
4,25,0.01,1,0,1.969,3.9
4,26,0.01,1,0,1.421,3.6
4,27,0.01,1,0,1.393,6.6
4,28,0.01,1,0,1.599,3.9
4,29,0.01,1,0,1.14,5.1
4,30,0.01,1,0,1.722,3.9
4,31,0.01,1,0,1.085,4.8
4,32,0.01,1,0,1.847,3.9
4,33,0.01,1,0,2.17,5.1
4,34,0.01,1,0,1.857,4.2
4,35,0.01,1,0,1.561,6.3
4,36,0.01,1,0,1.526,4.2
4,37,0.01,1,0,1.364,4.5
4,38,0.01,1,0,1.658,4.2
4,39,0.01,1,0,1.783,3.9
4,40,0.01,1,0,1.746,3.9
4,41,0.01,1,0,1.841,3.9
4,42,0.01,1,0,1.424,4.5
4,43,0.01,1,0,1.904,4.2
4,44,0.01,1,0,1.478,5.1
4,45,0.01,1,0,1.689,3.9
4,46,0.01,1,0,1.336,4.8
4,47,0.01,1,0,2.1,4.8
4,48,0.01,1,0,1.2,4.8
4,49,0.01,1,0,1.313,6.6
5,0,0.01,1,0,1.324,5.1
5,1,0.01,1,0,1.37,5.7
5,2,0.01,1,0,1.939,4.8
5,3,0.01,1,0,1.801,4.2
5,4,0.01,1,0,1.903,4.2
5,5,0.01,1,0,1.607,5.1
5,6,0.01,1,0,1.151,4.8
5,7,0.01,1,0,1.548,3.9
5,8,0.01,1,0,1.814,3.9
5,9,0.01,1,0,1.936,4.2
5,10,0.01,1,0,1.075,5.1
5,11,0.01,1,0,1.719,4.2
5,12,0.01,1,0,1.504,4.5
5,13,0.01,1,0,1.597,5.7
5,14,0.01,1,0,1.402,5.1
5,15,0.01,1,0,1.51,3.9
5,16,0.01,1,0,1.698,3.9
