seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ours,True,False,False,False,False,False,0.260,1.12,6.52,3.05,0.26,0,8.3
0,ego,True,False,False,False,False,False,0.255,0.69,5.52,2.22,0.26,0,8.2
1,ours,True,False,False,False,False,False,0.159,2.02,8.65,1.65,0.16,0,9.8
1,ego,False,True,False,False,False,True,-0.747,0.62,8.11,0.17,-0.75,0,infs
2,ours,True,False,False,False,False,False,0.922,0.92,24.71,2.48,1.62,0,7.8
2,ego,True,False,False,False,False,False,0.613,0.61,24.71,2.48,1.62,0,7.7
3,ours,True,False,False,False,False,False,0.366,1.04,12.34,4.58,0.37,0,9.6
3,ego,True,False,False,False,False,False,0.182,0.35,14.2,2.72,0.18,0,9.6
4,ours,True,False,False,False,False,False,0.187,0.99,,2.02,0.19,0,9.9
4,ego,True,False,False,False,False,False,0.422,0.51,,0.42,1.69,0,9.7
5,ours,True,False,False,False,False,False,0.285,2.19,6.27,2.03,0.29,504,10.1
5,ego,True,False,False,False,False,False,0.456,0.55,4.66,1.0,0.46,0,9.2
6,ours,True,False,False,False,False,False,0.277,1.1,1.12,1.2,0.28,7,10.1
6,ego,False,True,False,True,False,False,-0.176,10.68,-0.18,,8.67,0,infs
7,ours,True,False,False,False,False,False,1.207,1.39,,1.21,11.83,0,10.4
7,ego,True,False,False,False,False,False,0.345,0.41,,0.34,10.37,0,9.7
8,ours,True,False,False,False,False,False,0.272,0.77,26.66,3.12,0.27,0,9.5
8,ego,False,True,False,False,True,False,-0.305,0.38,,-0.31,3.11,0,infs
9,ours,True,False,False,False,False,False,0.671,1.02,1.73,2.39,0.67,0,11.5
9,ego,True,False,False,False,False,False,0.170,0.5,1.46,0.88,0.17,0,9.5
10,ours,True,False,False,False,False,False,0.518,0.97,11.06,4.49,0.52,0,9.1
10,ego,True,False,False,False,False,False,0.490,1.55,14.42,4.59,0.49,0,9.1
11,ours,True,False,False,False,False,False,0.419,0.81,5.41,1.4,0.42,0,10.6
11,ego,True,False,False,False,False,False,0.237,0.61,3.47,0.34,0.24,0,9.6
12,ours,True,False,False,False,False,False,0.499,1.19,,2.53,0.5,0,10.5
12,ego,True,False,False,False,False,False,0.385,0.39,,0.84,0.42,0,9.2
13,ours,True,False,False,False,False,False,0.374,1.41,6.44,2.26,0.37,0,9.1
13,ego,True,False,False,False,False,False,0.378,0.56,6.44,0.43,0.38,0,9.0
14,ours,True,False,False,False,False,False,0.301,0.75,14.19,1.49,0.3,0,10.4
14,ego,True,False,False,False,False,False,0.208,1.67,13.88,0.27,0.21,0,9.8
15,ours,False,True,False,False,False,True,-0.022,1.98,23.34,1.19,-0.02,0,infs
15,ego,False,True,False,False,False,True,-0.249,1.98,20.0,0.19,-0.25,0,infs
16,ours,True,False,False,False,False,False,0.891,0.89,,1.14,1.56,0,10.5
16,ego,True,False,False,False,False,False,0.199,0.3,,0.97,0.2,0,10.1
17,ours,True,False,False,False,False,False,0.264,0.92,,1.09,0.26,0,9.1
17,ego,True,False,False,False,False,False,0.277,0.28,,0.55,1.02,0,8.6
18,ours,True,False,False,False,False,False,0.586,1.28,9.65,1.64,0.59,0,8.7
18,ego,True,False,False,False,False,False,0.314,0.49,9.65,1.3,0.31,0,8.8
19,ours,True,False,False,False,False,False,0.919,0.92,,1.2,5.66,0,9.1
19,ego,True,False,False,False,False,False,0.320,0.7,,0.32,5.66,0,7.9
20,ours,True,False,False,False,False,False,0.955,1.39,,1.86,0.96,0,10.3
20,ego,True,False,False,False,False,False,0.389,0.39,,0.92,1.09,0,9.4
21,ours,True,False,False,False,False,False,0.762,4.48,2.6,5.24,0.76,0,10.9
21,ego,True,False,False,False,False,False,0.455,5.89,1.8,0.62,0.45,0,9.8
22,ours,True,False,False,False,False,False,0.065,1.6,20.76,2.46,0.07,0,10.0
22,ego,True,False,False,False,False,False,0.299,0.38,19.11,1.31,0.3,43,9.9
23,ours,True,False,False,False,False,False,0.340,1.01,,1.86,0.34,0,9.2
23,ego,True,False,False,False,False,False,0.418,0.54,,1.15,0.42,0,8.7
24,ours,True,False,False,False,False,False,0.128,1.7,23.67,3.76,0.13,0,12.1
24,ego,False,True,False,False,False,True,-0.084,1.51,23.67,3.08,-0.08,0,infs
25,ours,True,False,False,False,False,False,0.325,0.9,22.46,2.3,0.33,0,10.8
25,ego,True,False,False,False,False,False,0.274,0.27,21.62,0.5,0.31,0,9.5
26,ours,True,False,False,False,False,False,0.343,1.04,5.13,2.39,0.34,0,8.6
26,ego,False,True,False,False,False,True,-0.034,0.28,23.95,15.14,-0.03,0,infs
27,ours,True,False,False,False,False,False,0.496,0.85,,2.32,0.5,0,11.7
27,ego,True,False,False,False,False,False,0.321,0.32,,0.63,0.48,0,9.8
28,ours,True,False,False,False,False,False,0.505,1.05,,1.34,0.51,0,9.5
28,ego,False,True,True,False,False,False,-0.220,-0.22,,14.01,9.64,0,infs
29,ours,True,False,False,False,False,False,0.224,1.58,14.71,1.12,0.22,0,11.0
29,ego,True,False,False,False,False,False,0.090,0.36,25.25,2.61,0.09,0,9.7
30,ours,False,True,False,False,False,True,-0.105,1.03,,2.19,-0.11,0,infs
30,ego,False,True,False,False,False,True,-0.565,4.46,,1.03,-0.57,0,infs
31,ours,True,False,False,False,False,False,0.078,1.56,4.54,2.37,0.08,0,9.3
31,ego,False,True,False,False,False,True,-0.753,3.03,4.28,2.43,-0.75,0,infs
32,ours,False,True,False,False,False,True,-0.013,1.55,5.3,11.02,-0.01,0,infs
