seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ego,True,False,False,False,False,False,0.255,0.690,5.520,2.220,0.260,0,8.2
0,ours,True,False,False,False,False,False,0.260,1.390,6.590,3.090,0.260,0,8.3
1,ego,False,True,False,False,False,True,-0.747,0.620,8.110,0.170,-0.750,0,infs
1,ours,True,False,False,False,False,False,0.188,1.880,15.610,2.530,0.190,0,10.9
2,ego,True,False,False,False,False,False,0.613,0.610,24.710,2.480,1.620,0,7.7
2,ours,True,False,False,False,False,False,1.153,1.150,24.710,2.480,1.620,0,8.1
3,ego,True,False,False,False,False,False,0.182,0.350,14.200,2.720,0.180,0,9.6
3,ours,True,False,False,False,False,False,0.179,1.340,12.560,1.920,0.180,1,9.5
4,ego,True,False,False,False,False,False,0.422,0.510,,0.420,1.690,0,9.7
4,ours,True,False,False,False,False,False,0.187,1.300,,2.300,0.190,0,10.1
5,ego,True,False,False,False,False,False,0.456,0.550,4.660,1.000,0.460,0,9.2
5,ours,True,False,False,False,False,False,0.261,1.730,6.270,1.980,0.260,436,10.2
6,ego,False,True,False,True,False,False,-0.176,10.680,-0.180,,8.670,0,infs
6,ours,False,True,False,False,False,True,-0.015,5.050,1.000,19.220,-0.010,15,infs
7,ego,True,False,False,False,False,False,0.345,0.410,,0.340,10.370,0,9.7
7,ours,True,False,False,False,False,False,1.378,1.380,,1.760,13.500,0,9.7
8,ego,False,True,False,False,True,False,-0.305,0.380,,-0.310,3.110,0,infs
8,ours,True,False,False,False,False,False,0.606,2.170,24.560,4.570,0.610,0,10.2
9,ego,True,False,False,False,False,False,0.170,0.500,1.460,0.880,0.170,0,9.5
9,ours,True,False,False,False,False,False,0.214,1.230,1.880,3.050,0.210,0,11.1
10,ego,True,False,False,False,False,False,0.490,1.550,14.420,4.590,0.490,0,9.1
10,ours,True,False,False,False,False,False,0.294,1.240,11.070,4.490,0.290,0,9.1
11,ego,True,False,False,False,False,False,0.237,0.610,3.470,0.340,0.240,0,9.6
11,ours,True,False,False,False,False,False,0.419,0.790,7.100,1.770,0.420,0,10.8
