seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ego,True,False,False,False,False,False,0.255,0.690,7.390,2.220,0.260,0,8.2
0,ours,True,False,False,False,False,False,0.255,1.010,2.630,2.330,0.260,0,8.2
1,ego,False,True,False,False,False,True,-0.747,0.620,8.110,0.170,-0.750,0,infs
1,ours,True,False,False,False,False,False,0.106,2.020,13.020,2.910,0.110,0,10.3
2,ego,True,False,False,False,False,False,0.613,0.610,24.710,2.480,1.620,0,7.7
2,ours,True,False,False,False,False,False,1.596,1.600,24.710,2.480,1.620,0,8.2
3,ego,True,False,False,False,False,False,0.182,0.350,14.200,2.720,0.180,0,9.6
3,ours,True,False,False,False,False,False,0.125,1.340,14.200,1.610,0.120,131,10.6
4,ego,True,False,False,False,False,False,0.422,0.510,,0.420,1.690,0,9.7
4,ours,True,False,False,False,False,False,0.167,1.280,,3.260,0.170,0,10.4
5,ego,True,False,False,False,False,False,0.456,0.550,4.660,1.000,0.460,0,9.2
5,ours,True,False,False,False,False,False,0.376,1.130,6.530,2.320,0.380,0,9.3
6,ego,False,True,False,True,False,False,-0.176,10.680,-0.180,,8.670,0,infs
6,ours,True,False,False,False,False,False,0.057,1.770,0.060,3.010,0.060,2,11.5
7,ego,True,False,False,False,False,False,0.345,0.410,,0.340,10.370,0,9.7
7,ours,True,False,False,False,False,False,1.345,1.730,,1.350,7.290,0,10.0
8,ego,False,True,False,False,True,False,-0.305,0.380,,-0.310,3.110,0,infs
8,ours,True,False,False,False,False,False,0.647,1.220,23.820,1.490,0.650,0,10.3
9,ego,True,False,False,False,False,False,0.170,0.500,1.460,0.880,0.170,0,9.5
9,ours,True,False,False,False,False,False,0.236,1.050,3.620,5.510,0.240,0,10.2
10,ego,True,False,False,False,False,False,0.490,1.550,14.420,4.590,0.490,0,9.1
10,ours,True,False,False,False,False,False,0.467,1.480,11.960,4.000,0.470,0,9.0
11,ego,True,False,False,False,False,False,0.237,0.610,3.470,0.340,0.240,0,9.6
11,ours,True,False,False,False,False,False,0.494,1.160,7.070,1.110,0.490,0,11.9
12,ego,True,False,False,False,False,False,0.385,0.390,,0.840,0.420,0,9.2
12,ours,True,False,False,False,False,False,0.687,0.760,,0.880,0.690,176,12.9
13,ego,True,False,False,False,False,False,0.378,0.560,6.440,0.430,0.380,0,9.0
13,ours,True,False,False,False,False,False,0.263,2.030,6.440,1.160,0.260,0,9.6
14,ego,True,False,False,False,False,False,0.208,1.670,13.880,0.270,0.210,0,9.8
14,ours,False,True,False,False,False,True,-0.641,1.670,23.780,1.450,-0.640,0,infs
15,ego,False,True,False,False,False,True,-0.249,1.980,20.000,0.190,-0.250,0,infs
15,ours,False,True,False,False,False,False,-0.001,0.910,20.000,2.050,-0.000,0,infs
16,ego,True,False,False,False,False,False,0.199,0.300,,0.970,0.200,0,10.1
16,ours,True,False,False,False,False,False,0.339,0.910,,1.670,0.340,0,9.9
17,ego,True,False,False,False,False,False,0.277,0.280,,0.550,1.020,0,8.6
17,ours,True,False,False,False,False,False,0.235,0.920,,2.070,0.230,0,9.2
18,ego,True,False,False,False,False,False,0.314,0.490,9.650,1.300,0.310,0,8.8
18,ours,True,False,False,False,False,False,0.576,1.650,9.650,1.840,0.580,0,8.7
