seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ego,True,False,False,False,False,False,False,0.255,0.690,2.100,2.220,0.260,0,8.2
0,ours,True,False,False,False,False,False,False,0.255,1.050,2.460,2.330,0.260,0,8.2
1,ego,False,True,False,False,False,False,True,-0.747,0.620,8.110,0.170,-0.750,0,infs
1,ours,False,True,False,False,False,False,True,-0.113,2.020,,4.100,-0.110,0,infs
2,ego,True,False,False,False,False,False,False,0.613,0.610,24.710,2.480,1.620,0,7.7
2,ours,True,False,False,False,False,False,False,1.615,1.740,24.710,2.480,1.620,0,8.2
3,ego,True,False,False,False,False,False,False,0.182,0.350,14.200,2.720,0.180,0,9.6
3,ours,True,False,False,False,False,False,False,0.077,1.410,11.800,1.820,0.080,0,9.4
4,ego,True,False,False,False,False,False,False,0.422,0.510,,0.420,1.690,0,9.7
4,ours,True,False,False,False,False,False,False,0.151,1.620,,3.070,0.150,0,10.4
5,ego,True,False,False,False,False,False,False,0.456,0.550,4.660,1.000,0.460,0,9.2
5,ours,True,False,False,False,False,False,False,0.376,1.600,6.530,2.380,0.380,0,9.9
6,ego,False,True,False,False,True,False,False,-0.176,10.680,-0.180,,8.670,0,infs
6,ours,True,False,False,False,False,False,False,0.286,1.320,0.450,3.360,0.290,0,12.4
7,ego,True,False,False,False,False,False,False,0.345,0.410,,0.340,10.370,0,9.7
7,ours,True,False,False,False,False,False,False,1.871,1.870,,2.200,6.920,0,10.4
8,ego,False,True,False,False,False,True,False,-0.305,0.380,,-0.310,3.110,0,infs
8,ours,True,False,False,False,False,False,False,0.361,1.170,25.580,1.930,0.360,0,10.6
9,ego,True,False,False,False,False,False,False,0.170,0.500,1.460,0.880,0.170,0,9.5
9,ours,True,False,False,False,False,False,False,0.339,1.340,2.940,2.200,0.340,0,10.8
10,ego,True,False,False,False,False,False,False,0.490,1.550,14.420,4.590,0.490,0,9.1
10,ours,True,False,False,False,False,False,False,0.467,1.480,11.960,4.000,0.470,0,9.0
11,ego,True,False,False,False,False,False,False,0.237,0.610,3.470,0.340,0.240,0,9.6
11,ours,True,False,False,False,False,False,False,0.440,1.360,2.110,2.150,0.440,0,10.2
12,ego,True,False,False,False,False,False,False,0.385,0.390,,0.840,0.420,0,9.2
12,ours,True,False,False,False,False,False,False,0.398,1.490,,2.700,0.400,0,10.8
13,ego,True,False,False,False,False,False,False,0.378,0.560,6.440,0.430,0.380,0,9.0
13,ours,True,False,False,False,False,False,False,0.263,2.030,6.440,1.160,0.260,0,9.6
14,ego,True,False,False,False,False,False,False,0.208,1.670,13.880,0.270,0.210,0,9.8
14,ours,True,False,False,False,False,False,False,0.277,1.260,14.120,1.480,0.280,0,10.2
15,ego,False,True,False,False,False,False,True,-0.249,1.980,20.000,0.190,-0.250,0,infs
15,ours,True,False,False,False,False,False,False,0.126,1.170,20.000,1.530,0.130,0,11.4
16,ego,True,False,False,False,False,False,False,0.199,0.300,,0.970,0.200,0,10.1
16,ours,True,False,False,False,False,False,False,0.339,1.240,,1.800,0.340,0,10.9
17,ego,True,False,False,False,False,False,False,0.277,0.280,,0.550,1.020,0,8.6
17,ours,True,False,False,False,False,False,False,1.046,1.050,,2.480,3.840,0,10.0
18,ego,True,False,False,False,False,False,False,0.314,0.490,9.650,1.300,0.310,0,8.8
18,ours,True,False,False,False,False,False,False,0.419,1.820,9.650,1.300,0.420,0,10.4
19,ego,True,False,False,False,False,False,False,0.320,0.700,,0.320,5.660,0,7.9
19,ours,True,False,False,False,False,False,False,1.152,1.150,,2.370,5.660,0,8.6
20,ego,True,False,False,False,False,False,False,0.389,0.390,,0.920,1.090,0,9.4
20,ours,True,False,False,False,False,False,False,0.807,1.680,,1.890,0.810,0,9.5
21,ego,True,False,False,False,False,False,False,0.455,5.890,1.800,0.620,0.450,0,9.8
21,ours,True,False,False,False,False,False,False,0.369,4.480,2.830,5.530,0.370,198,10.9
22,ego,True,False,False,False,False,False,False,0.299,0.380,19.110,1.310,0.300,43,9.9
22,ours,True,False,False,False,False,False,False,0.122,1.030,18.300,2.390,0.120,0,10.2
23,ego,True,False,False,False,False,False,False,0.418,0.540,,1.150,0.420,0,8.7
23,ours,True,False,False,False,False,False,False,0.363,1.220,,1.550,0.360,0,8.9
24,ego,False,True,False,False,False,False,True,-0.084,1.510,23.670,3.080,-0.080,0,infs
24,ours,True,False,False,False,False,False,False,0.602,2.010,15.960,4.230,0.600,0,10.4
25,ego,True,False,False,False,False,False,False,0.274,0.270,21.620,0.500,0.310,0,9.5
25,ours,True,False,False,False,False,False,False,0.238,2.230,8.150,9.580,0.240,0,9.5
26,ego,False,True,False,False,False,False,True,-0.034,0.280,23.950,15.140,-0.030,0,infs
26,ours,True,False,False,False,False,False,False,0.644,1.560,9.630,8.760,0.640,0,9.8
27,ego,True,False,False,False,False,False,False,0.321,0.320,,0.630,0.480,0,9.8
27,ours,True,False,False,False,False,False,False,0.537,0.970,,1.670,0.540,5,10.7
28,ego,False,True,False,True,False,False,False,-0.220,-0.220,,14.010,9.640,0,infs
28,ours,True,False,False,False,False,False,False,0.606,1.210,,5.530,0.610,0,9.8
29,ego,True,False,False,False,False,False,False,0.090,0.360,24.900,2.610,0.090,0,9.7
29,ours,True,False,False,False,False,False,False,0.457,1.880,12.320,2.800,0.460,0,11.3
30,ego,False,True,False,False,False,False,True,-0.565,4.460,,1.030,-0.570,0,infs
30,ours,True,False,False,False,False,False,False,0.358,3.960,,1.470,0.360,0,10.6
31,ego,False,True,False,False,False,False,True,-0.753,3.030,4.280,2.430,-0.750,0,infs
31,ours,True,False,False,False,False,False,False,0.301,1.030,4.490,2.370,0.300,0,9.3
32,ego,False,True,False,False,False,False,True,-0.256,1.550,5.300,11.470,-0.260,0,infs
32,ours,False,True,False,False,False,False,True,-0.013,1.550,5.300,11.020,-0.010,0,infs
33,ego,True,False,False,False,False,False,False,0.123,0.820,,0.120,0.580,0,9.6
33,ours,True,False,False,False,False,False,False,0.577,1.650,,1.820,0.580,182,10.7
34,ego,True,False,False,False,False,False,False,0.439,0.840,26.850,0.820,0.440,0,9.2
34,ours,True,False,False,False,False,False,False,0.504,1.020,26.850,7.010,0.500,0,9.2
35,ego,False,True,False,False,True,False,False,-0.106,1.120,-0.110,2.930,0.570,0,infs
35,ours,True,False,False,False,False,False,False,0.050,0.050,5.920,2.030,0.070,152,14.1
36,ego,True,False,False,False,False,False,False,0.528,0.530,16.840,2.030,0.690,0,9.0
36,ours,True,False,False,False,False,False,False,0.766,1.070,23.440,5.310,0.770,1,12.7
37,ego,False,True,False,False,False,False,True,-0.360,2.280,3.630,18.310,-0.360,0,infs
37,ours,True,False,False,False,False,False,False,0.338,1.710,3.630,4.260,0.340,0,8.7
38,ego,True,False,False,False,False,False,False,0.378,3.540,25.120,0.760,0.380,0,9.7
38,ours,True,False,False,False,False,False,False,0.345,2.560,25.120,2.080,0.350,0,10.0
39,ego,False,True,False,False,False,False,False,-0.005,1.110,14.800,4.910,-0.000,0,infs
