seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ego,True,False,False,False,False,False,False,0.255,0.690,7.390,2.220,0.260,0,8.2
0,ours,True,False,False,False,False,False,False,0.654,1.130,8.770,1.590,0.650,0,8.4
1,ego,True,False,False,False,False,False,False,0.206,0.570,2.310,0.250,0.210,0,8.8
1,ours,True,False,False,False,False,False,False,0.272,2.180,19.900,3.180,0.270,0,11.7
2,ego,True,False,False,False,False,False,False,0.613,0.610,24.710,2.480,1.620,0,7.7
2,ours,True,False,False,False,False,False,False,1.615,1.740,24.710,2.480,1.620,0,8.2
3,ego,False,True,False,False,False,False,True,-0.026,0.350,14.200,7.650,-0.030,0,infs
3,ours,True,False,False,False,False,False,False,0.581,1.600,11.720,1.590,0.580,0,9.4
4,ego,True,False,False,False,False,False,False,0.422,0.510,,0.420,1.690,0,9.7
4,ours,True,False,False,False,False,False,False,0.746,1.540,,2.220,0.750,0,9.8
5,ego,True,False,False,False,False,False,False,0.360,0.440,3.650,0.920,0.360,0,9.7
5,ours,True,False,False,False,False,False,False,0.500,1.470,5.500,2.680,0.500,0,10.7
6,ego,False,True,False,False,True,False,False,-0.190,10.680,-0.190,,8.660,0,infs
6,ours,True,False,False,False,False,False,False,0.446,2.210,0.450,6.040,0.550,0,12.0
7,ego,True,False,False,False,False,False,False,0.345,0.410,,0.340,10.370,0,9.7
7,ours,True,False,False,False,False,False,False,1.871,1.870,,2.200,6.920,0,10.4
8,ego,False,True,False,False,False,True,False,-0.305,0.380,,-0.310,3.110,0,infs
8,ours,True,False,False,False,False,False,False,1.243,1.270,26.890,2.860,1.240,0,11.1
9,ego,True,False,False,False,False,False,False,0.170,0.500,1.460,0.880,0.170,0,9.5
9,ours,True,False,False,False,False,False,False,0.558,1.940,1.420,2.440,0.560,0,11.4
10,ego,True,False,False,False,False,False,False,0.162,0.230,10.460,4.490,0.160,0,9.1
10,ours,True,False,False,False,False,False,False,0.712,1.680,15.370,1.890,0.710,0,11.0
11,ego,True,False,False,False,False,False,False,0.300,0.330,4.120,1.480,0.300,0,9.7
11,ours,True,False,False,False,False,False,False,0.463,1.050,1.740,2.340,0.460,518,11.9
12,ego,True,False,False,False,False,False,False,0.385,0.390,,0.840,0.420,0,9.2
12,ours,True,False,False,False,False,False,False,0.551,1.400,,2.800,0.550,0,10.4
13,ego,True,False,False,False,False,False,False,0.209,0.530,6.440,3.070,0.210,0,9.1
13,ours,True,False,False,False,False,False,False,0.603,1.920,6.440,1.700,0.600,0,9.6
14,ego,False,True,False,False,False,False,True,-0.006,1.670,,21.160,-0.010,0,infs
14,ours,False,False,False,False,False,False,False,0.526,1.670,22.750,1.830,0.530,0,infs
15,ego,False,True,False,False,False,False,True,-0.133,1.980,23.340,3.060,-0.130,0,infs
15,ours,False,True,False,False,False,True,False,-0.353,1.920,21.490,-0.350,0.590,1,infs
16,ego,True,False,False,False,False,False,False,0.220,0.490,,0.590,0.220,43,10.5
16,ours,True,False,False,False,False,False,False,1.165,1.160,,2.220,1.830,0,12.0
17,ego,True,False,False,False,False,False,False,0.277,0.280,,0.550,1.020,0,8.6
17,ours,True,False,False,False,False,False,False,1.046,1.050,,2.480,3.940,0,10.0
18,ego,False,True,False,False,False,False,True,-0.096,0.460,9.650,16.620,-0.100,0,infs
18,ours,False,True,False,True,False,False,False,-0.304,-0.300,9.650,1.680,0.550,0,infs
19,ego,True,False,False,False,False,False,False,0.320,0.700,,0.320,5.660,0,7.9
19,ours,True,False,False,False,False,False,False,1.152,1.150,,2.370,5.660,0,8.6
20,ego,True,False,False,False,False,False,False,0.298,0.330,,0.300,0.500,0,9.4
20,ours,True,False,False,False,False,False,False,1.119,1.680,,2.500,1.120,0,9.9
21,ego,True,False,False,False,False,False,False,0.455,5.890,1.800,0.620,0.450,0,9.8
21,ours,True,False,False,False,False,False,False,0.522,3.620,2.830,5.060,0.520,198,10.9
22,ego,True,False,False,False,False,False,False,0.414,0.830,19.490,1.290,0.410,0,9.8
22,ours,True,False,False,False,False,False,False,0.864,1.590,16.350,2.510,0.860,0,10.4
23,ego,True,False,False,False,False,False,False,0.360,0.540,,1.150,0.360,0,8.8
23,ours,True,False,False,False,False,False,False,0.612,1.380,,1.550,0.610,0,9.8
24,ego,False,True,False,False,False,False,True,-0.609,0.980,23.670,1.070,-0.610,0,infs
24,ours,False,False,False,False,False,False,False,0.944,2.010,23.670,9.450,0.940,216,infs
25,ego,True,False,False,False,False,False,False,0.294,1.050,16.590,3.230,0.290,0,9.4
25,ours,True,False,False,False,False,False,False,0.549,1.840,8.960,8.370,0.550,0,10.4
26,ego,True,False,False,False,False,False,False,0.217,0.220,1.620,3.710,0.470,0,8.3
