seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ego,True,False,False,False,False,False,False,0.255,0.690,2.100,2.220,0.260,0,8.2
0,ours,True,False,False,False,False,False,False,0.255,1.390,5.720,2.470,0.260,0,8.2
1,ego,False,True,False,False,False,False,True,-0.747,0.620,8.110,0.170,-0.750,0,infs
1,ours,False,True,False,False,False,False,True,-0.113,2.020,,4.100,-0.110,0,infs
2,ego,True,False,False,False,False,False,False,0.613,0.610,24.710,2.480,1.620,0,7.7
2,ours,True,False,False,False,False,False,False,1.544,1.540,24.710,2.480,1.620,0,7.7
3,ego,True,False,False,False,False,False,False,0.182,0.350,14.200,2.720,0.180,0,9.6
3,ours,True,False,False,False,False,False,False,0.289,1.670,11.520,2.040,0.290,0,9.3
4,ego,True,False,False,False,False,False,False,0.422,0.510,,0.420,1.690,0,9.7
4,ours,True,False,False,False,False,False,False,0.174,1.890,,3.250,0.170,0,10.5
5,ego,True,False,False,False,False,False,False,0.456,0.550,4.660,1.000,0.460,0,9.2
5,ours,True,False,False,False,False,False,False,0.297,1.640,6.890,2.940,0.300,0,9.8
6,ego,False,True,False,False,True,False,False,-0.176,10.680,-0.180,,8.670,0,infs
6,ours,True,False,False,False,False,False,False,0.345,0.890,0.560,1.380,0.350,1,11.7
7,ego,True,False,False,False,False,False,False,0.345,0.410,,0.340,10.370,0,9.7
7,ours,True,False,False,False,False,False,False,1.687,1.690,,1.840,7.450,0,9.7
8,ego,False,True,False,False,False,True,False,-0.305,0.380,,-0.310,3.110,0,infs
8,ours,True,False,False,False,False,False,False,0.323,1.310,24.850,4.240,0.320,0,10.3
9,ego,True,False,False,False,False,False,False,0.170,0.500,1.460,0.880,0.170,0,9.5
9,ours,True,False,False,False,False,False,False,0.149,0.150,5.930,4.460,0.280,0,12.5
10,ego,True,False,False,False,False,False,False,0.490,1.550,14.420,4.590,0.490,0,9.1
10,ours,True,False,False,False,False,False,False,0.467,1.720,11.960,4.000,0.470,0,9.0
11,ego,True,False,False,False,False,False,False,0.237,0.610,3.470,0.340,0.240,0,9.6
11,ours,False,True,False,False,False,False,True,-0.123,2.070,15.340,5.170,-0.120,0,infs
12,ego,True,False,False,False,False,False,False,0.385,0.390,,0.840,0.420,0,9.2
12,ours,True,False,False,False,False,False,False,0.398,1.310,,2.700,0.400,0,10.5
13,ego,True,False,False,False,False,False,False,0.378,0.560,6.440,0.430,0.380,0,9.0
13,ours,True,False,False,False,False,False,False,0.263,2.030,6.440,1.320,0.260,0,9.6
14,ego,True,False,False,False,False,False,False,0.208,1.670,13.880,0.270,0.210,0,9.8
14,ours,True,False,False,False,False,False,False,0.303,1.670,13.840,1.840,0.300,0,11.4
15,ego,False,True,False,False,False,False,True,-0.249,1.980,20.000,0.190,-0.250,0,infs
15,ours,True,False,False,False,False,False,False,0.126,1.650,20.000,1.750,0.130,0,10.2
16,ego,True,False,False,False,False,False,False,0.199,0.300,,0.970,0.200,0,10.1
16,ours,True,False,False,False,False,False,False,0.339,1.360,,1.880,0.340,0,12.2
17,ego,True,False,False,False,False,False,False,0.277,0.280,,0.550,1.020,0,8.6
17,ours,True,False,False,False,False,False,False,1.346,1.350,,2.790,6.630,0,9.7
18,ego,True,False,False,False,False,False,False,0.314,0.490,9.650,1.300,0.310,0,8.8
18,ours,True,False,False,False,False,False,False,0.311,1.840,9.650,1.980,0.310,0,9.2
19,ego,True,False,False,False,False,False,False,0.320,0.700,,0.320,5.660,0,7.9
19,ours,True,False,False,False,False,False,False,1.242,1.240,,2.700,5.660,0,8.6
20,ego,True,False,False,False,False,False,False,0.389,0.390,,0.920,1.090,0,9.4
20,ours,True,False,False,False,False,False,False,0.841,1.650,,3.020,0.840,0,10.0
21,ego,True,False,False,False,False,False,False,0.455,5.890,1.800,0.620,0.450,0,9.8
21,ours,True,False,False,False,False,False,False,0.249,5.520,2.830,2.510,0.250,0,11.3
22,ego,True,False,False,False,False,False,False,0.299,0.380,19.110,1.310,0.300,43,9.9
22,ours,True,False,False,False,False,False,False,0.122,1.560,19.470,2.640,0.120,0,11.4
23,ego,True,False,False,False,False,False,False,0.418,0.540,,1.150,0.420,0,8.7
