seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ego,True,False,False,False,False,False,False,0.255,0.690,7.540,2.220,0.260,0,8.2
0,ours,True,False,False,False,False,False,False,0.255,1.050,7.400,2.330,0.260,0,8.2
1,ego,True,False,False,False,False,False,False,0.206,0.570,2.310,0.250,0.210,0,8.8
1,ours,True,False,False,False,False,False,False,0.214,2.220,21.650,2.080,0.210,0,11.5
2,ego,True,False,False,False,False,False,False,0.613,0.610,24.710,2.480,1.620,0,7.7
2,ours,True,False,False,False,False,False,False,1.615,1.740,24.710,2.480,1.620,0,8.2
3,ego,False,True,False,False,False,False,True,-0.026,0.350,14.200,7.650,-0.030,0,infs
3,ours,True,False,False,False,False,False,False,0.132,1.050,12.430,1.410,0.130,0,9.5
4,ego,True,False,False,False,False,False,False,0.422,0.510,,0.420,1.690,0,9.7
4,ours,True,False,False,False,False,False,False,0.321,1.620,,3.390,0.320,0,9.8
5,ego,True,False,False,False,False,False,False,0.360,0.440,3.650,0.920,0.360,0,9.7
5,ours,True,False,False,False,False,False,False,0.280,1.250,4.970,2.390,0.280,0,10.3
6,ego,False,True,False,False,True,False,False,-0.190,10.680,-0.190,,8.660,0,infs
6,ours,True,False,False,False,False,False,False,0.240,1.950,0.450,3.100,0.240,0,12.9
7,ego,True,False,False,False,False,False,False,0.345,0.410,,0.340,10.370,0,9.7
7,ours,True,False,False,False,False,False,False,1.871,1.870,,2.200,6.920,0,10.4
8,ego,False,True,False,False,False,True,False,-0.305,0.380,,-0.310,3.110,0,infs
8,ours,True,False,False,False,False,False,False,0.128,1.140,26.360,3.900,0.130,0,9.7
9,ego,True,False,False,False,False,False,False,0.170,0.500,1.460,0.880,0.170,0,9.5
9,ours,True,False,False,False,False,False,False,0.349,1.830,1.520,2.400,0.350,0,12.5
10,ego,True,False,False,False,False,False,False,0.162,0.230,10.460,4.490,0.160,0,9.1
10,ours,True,False,False,False,False,False,False,0.228,1.380,14.850,1.280,0.230,0,10.6
11,ego,True,False,False,False,False,False,False,0.300,0.330,4.120,1.480,0.300,0,9.7
11,ours,True,False,False,False,False,False,False,0.337,1.430,11.180,4.220,0.340,0,11.2
12,ego,True,False,False,False,False,False,False,0.385,0.390,,0.840,0.420,0,9.2
12,ours,True,False,False,False,False,False,False,0.496,1.300,,4.510,0.500,0,11.0
13,ego,True,False,False,False,False,False,False,0.209,0.530,6.440,3.070,0.210,0,9.1
13,ours,True,False,False,False,False,False,False,0.462,3.020,6.440,3.040,0.460,0,10.5
14,ego,False,True,False,False,False,False,True,-0.006,1.670,,21.160,-0.010,0,infs
14,ours,False,False,False,False,False,False,False,0.510,1.670,25.260,1.330,0.510,0,infs
15,ego,False,True,False,False,False,False,True,-0.133,1.980,23.340,3.060,-0.130,0,infs
15,ours,False,True,False,False,False,False,True,-0.152,1.510,25.880,2.930,-0.150,0,infs
16,ego,True,False,False,False,False,False,False,0.220,0.490,,0.590,0.220,43,10.5
16,ours,True,False,False,False,False,False,False,1.165,1.160,,2.220,1.830,0,12.0
17,ego,True,False,False,False,False,False,False,0.277,0.280,,0.550,1.020,0,8.6
17,ours,True,False,False,False,False,False,False,1.046,1.050,,2.480,3.940,0,10.0
18,ego,False,True,False,False,False,False,True,-0.096,0.460,9.650,16.620,-0.100,0,infs
18,ours,True,False,False,False,False,False,False,0.496,1.820,9.650,1.870,0.500,0,8.7
19,ego,True,False,False,False,False,False,False,0.320,0.700,,0.320,5.660,0,7.9
19,ours,True,False,False,False,False,False,False,1.152,1.150,,2.370,5.660,0,8.6
20,ego,True,False,False,False,False,False,False,0.298,0.330,,0.300,0.500,0,9.4
20,ours,True,False,False,False,False,False,False,1.119,1.680,,2.500,1.120,0,9.9
21,ego,True,False,False,False,False,False,False,0.455,5.890,1.800,0.620,0.450,0,9.8
21,ours,True,False,False,False,False,False,False,0.522,4.340,2.830,5.190,0.520,198,10.9
22,ego,True,False,False,False,False,False,False,0.414,0.830,19.490,1.290,0.410,0,9.8
22,ours,True,False,False,False,False,False,False,0.478,1.620,20.440,2.340,0.480,0,10.6
23,ego,True,False,False,False,False,False,False,0.360,0.540,,1.150,0.360,0,8.8
23,ours,True,False,False,False,False,False,False,0.332,1.380,,1.550,0.330,0,10.3
24,ego,False,True,False,False,False,False,True,-0.609,0.980,23.670,1.070,-0.610,0,infs
24,ours,True,False,False,False,False,False,False,0.353,0.700,23.670,3.670,0.350,0,12.3
25,ego,True,False,False,False,False,False,False,0.294,1.050,16.590,3.230,0.290,0,9.4
25,ours,True,False,False,False,False,False,False,0.200,1.980,9.120,9.260,0.200,0,10.1
26,ego,True,False,False,False,False,False,False,0.217,0.220,1.620,3.710,0.470,0,8.3
26,ours,True,False,False,False,False,False,False,0.262,1.540,4.390,1.380,0.260,0,9.6
27,ego,True,False,False,False,False,False,False,0.323,0.320,,0.630,0.320,0,9.8
27,ours,True,False,False,False,False,False,False,0.161,0.990,,3.190,0.160,0,11.9
28,ego,False,True,False,True,False,False,False,-0.220,-0.220,,14.010,9.640,0,infs
28,ours,True,False,False,False,False,False,False,0.619,1.210,,5.530,0.620,0,9.8
29,ego,True,False,False,False,False,False,False,0.184,0.640,24.150,0.660,0.180,0,9.8
29,ours,True,False,False,False,False,False,False,0.585,1.530,12.490,5.150,0.580,0,11.3
30,ego,False,True,False,False,False,False,True,-0.314,3.650,,1.450,-0.310,0,infs
30,ours,True,False,False,False,False,False,False,0.294,3.340,,1.560,0.290,0,11.5
31,ego,False,True,False,False,False,False,True,-0.753,3.030,4.280,2.430,-0.750,0,infs
31,ours,True,False,False,False,False,False,False,0.389,1.430,4.490,1.930,0.390,0,10.4
32,ego,False,True,False,False,False,False,True,-0.256,1.550,5.300,11.470,-0.260,0,infs
32,ours,True,False,False,False,False,False,False,0.008,0.010,5.300,2.470,0.450,0,12.3
33,ego,False,True,False,False,False,False,True,-0.039,1.360,,4.900,-0.040,0,infs
33,ours,True,False,False,False,False,False,False,0.790,2.000,,2.260,0.790,0,11.2
34,ego,True,False,False,False,False,False,False,0.284,1.160,26.850,0.280,0.510,0,9.2
34,ours,True,False,False,False,False,False,False,0.410,1.490,26.850,2.130,0.410,0,11.3
35,ego,False,True,False,False,False,False,True,-0.241,0.300,26.540,24.590,-0.240,0,infs
35,ours,True,False,False,False,False,False,False,0.228,1.170,8.860,2.360,0.230,0,13.3
36,ego,True,False,False,False,False,False,False,0.290,0.530,16.520,2.030,0.290,0,8.8
36,ours,True,False,False,False,False,False,False,0.795,0.790,23.520,5.310,0.940,0,12.7
37,ego,True,False,False,False,False,False,False,0.321,1.450,3.630,3.190,0.320,16,8.9
37,ours,True,False,False,False,False,False,False,0.577,1.280,3.630,2.050,0.580,0,9.5
38,ego,True,False,False,False,False,False,False,0.378,3.540,25.120,0.760,0.380,0,9.7
38,ours,True,False,False,False,False,False,False,0.491,1.580,25.440,2.050,0.490,0,10.3
39,ego,True,False,False,False,False,False,False,0.315,0.610,19.260,1.280,0.310,0,9.2
39,ours,True,False,False,False,False,False,False,0.414,2.050,16.410,2.120,0.410,0,11.8
40,ego,True,False,False,False,False,False,False,0.190,0.200,25.710,2.460,0.190,0,9.3
40,ours,True,False,False,False,False,False,False,0.369,1.610,25.710,2.410,0.370,0,9.0
41,ego,True,False,False,False,False,False,False,0.399,0.720,11.190,0.400,0.480,0,9.0
41,ours,True,False,False,False,False,False,False,0.407,1.430,18.030,4.190,0.410,0,9.0
42,ego,False,True,False,False,False,False,True,-0.057,0.600,7.950,6.490,-0.060,0,infs
42,ours,True,False,False,False,False,False,False,0.289,1.230,7.500,4.750,0.290,0,12.6
43,ego,True,False,False,False,False,False,False,0.407,1.670,15.150,3.850,0.410,0,8.8
43,ours,True,False,False,False,False,False,False,1.284,1.840,15.850,5.070,1.280,0,8.7
44,ego,True,False,False,False,False,False,False,0.556,0.870,7.690,5.550,0.560,0,9.5
44,ours,True,False,False,False,False,False,False,0.229,1.740,4.580,1.730,0.230,0,9.2
45,ego,True,False,False,False,False,False,False,0.294,1.050,16.590,3.230,0.290,0,9.4
45,ours,True,False,False,False,False,False,False,0.206,0.990,9.630,9.180,0.210,0,10.5
46,ego,False,True,False,False,False,False,True,-0.060,3.690,16.250,0.470,-0.060,0,infs
46,ours,True,False,False,False,False,False,False,0.474,2.300,14.190,2.480,0.470,0,8.9
47,ego,True,False,False,False,False,False,False,0.360,0.450,,0.820,0.360,0,9.7
47,ours,True,False,False,False,False,False,False,0.352,3.170,,2.530,0.350,0,11.1
48,ego,True,False,False,False,False,False,False,0.129,0.130,8.280,1.100,0.480,0,9.8
48,ours,False,True,False,False,False,False,True,-0.235,1.250,11.660,2.340,-0.240,0,infs
49,ego,True,False,False,False,False,False,False,0.558,2.920,27.770,0.560,0.600,0,9.8
