seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
0,ego,True,False,False,False,False,False,0.352,2.960,,2.810,0.350,0,12.6
0,ours,True,False,False,False,False,False,0.352,2.960,,2.810,0.350,0,12.6
1,ego,True,False,False,False,False,False,0.422,0.440,,0.730,0.420,0,13.9
1,ours,True,False,False,False,False,False,0.458,2.510,,1.940,0.460,0,14.0
2,ego,True,False,False,False,False,False,0.583,0.580,23.760,5.030,1.170,0,13.0
2,ours,True,False,False,False,False,False,1.166,1.630,23.760,6.610,1.170,0,13.4
3,ego,True,False,False,False,False,False,0.210,0.210,14.180,3.980,0.400,0,14.9
3,ours,True,False,False,False,False,False,0.234,1.570,14.180,3.230,0.230,0,15.3
4,ego,True,False,False,False,False,False,0.563,0.560,,0.750,3.590,0,15.7
4,ours,True,False,False,False,False,False,1.435,1.670,,2.360,1.430,0,15.6
5,ego,False,True,False,False,False,True,-0.099,11.630,9.350,25.610,-0.100,1,infs
5,ours,False,True,False,False,False,True,-0.029,11.050,9.150,24.940,-0.030,676,infs
6,ego,False,True,False,True,False,False,-0.130,11.300,-0.130,,9.100,0,infs
6,ours,False,True,False,True,False,False,-0.071,9.970,-0.070,,8.760,213,infs
7,ego,True,False,False,False,False,False,0.697,0.700,26.590,2.670,11.840,0,15.8
7,ours,True,False,False,False,False,False,0.870,0.870,23.250,1.780,7.010,0,16.2
8,ego,True,False,False,False,False,False,0.816,0.820,28.920,3.230,0.830,0,14.3
8,ours,True,False,False,False,False,False,0.551,0.550,,6.350,1.110,245,17.6
9,ego,True,False,False,False,False,False,0.169,1.110,4.180,2.230,0.170,0,15.2
9,ours,True,False,False,False,False,False,0.333,0.990,3.780,3.110,0.330,0,15.3
10,ego,True,False,False,False,False,False,0.174,0.170,21.940,2.850,0.310,0,14.3
10,ours,True,False,False,False,False,False,0.310,1.300,21.940,2.850,0.310,0,14.4
11,ego,True,False,False,False,False,False,0.313,1.160,6.600,1.970,0.310,0,15.4
11,ours,True,False,False,False,False,False,0.400,1.530,8.890,2.970,0.400,216,15.6
12,ego,True,False,False,False,False,False,0.343,0.400,,1.510,0.340,0,14.4
12,ours,True,False,False,False,False,False,0.358,1.840,,3.030,0.360,430,15.1
13,ego,True,False,False,False,False,False,0.164,0.160,6.440,5.000,0.280,0,14.3
13,ours,True,False,False,False,False,False,0.156,2.100,6.440,1.620,0.160,0,14.6
14,ego,True,False,False,False,False,False,0.371,1.670,17.130,1.380,0.370,0,15.0
14,ours,True,False,False,False,False,False,0.303,1.670,19.400,1.660,0.300,717,16.1
15,ego,False,True,False,False,False,True,-0.424,3.610,26.140,4.530,-0.420,0,infs
15,ours,False,True,False,False,False,True,-0.429,1.880,27.770,5.500,-0.430,0,infs
16,ego,True,False,False,False,False,False,0.798,0.940,,4.280,0.800,0,15.6
16,ours,True,False,False,False,False,False,0.798,1.250,,4.280,0.800,0,15.6
17,ego,True,False,False,False,False,False,0.308,0.430,,2.940,0.310,0,13.4
17,ours,True,False,False,False,False,False,0.051,0.050,,4.530,0.110,0,14.4
18,ego,True,False,False,False,False,False,0.258,0.810,9.650,4.130,0.260,0,14.4
18,ours,True,False,False,False,False,False,0.409,1.480,9.650,2.260,0.410,0,14.4
19,ego,True,False,False,False,False,False,2.163,2.930,,2.160,6.680,0,12.3
19,ours,True,False,False,False,False,False,2.141,2.930,,2.140,6.680,0,12.3
20,ego,True,False,False,False,False,False,0.760,0.760,,3.940,1.740,0,15.1
20,ours,True,False,False,False,False,False,1.017,1.520,,3.810,1.020,0,15.7
21,ego,True,False,False,False,False,False,0.450,5.010,1.070,2.850,0.450,0,14.6
21,ours,True,False,False,False,False,False,0.478,1.950,3.060,7.580,0.480,0,16.1
22,ego,True,False,False,False,False,False,0.208,1.530,17.200,3.410,0.210,0,15.7
22,ours,True,False,False,False,False,False,0.208,2.200,17.230,3.750,0.210,0,15.8
23,ego,True,False,False,False,False,False,0.805,1.560,18.520,4.840,0.800,0,14.0
23,ours,True,False,False,False,False,False,0.440,1.550,19.140,4.840,0.440,0,13.9
24,ego,True,False,False,False,False,False,0.172,0.740,23.250,6.040,0.170,0,15.3
24,ours,True,False,False,False,False,False,0.338,1.370,23.660,3.560,0.340,249,15.1
25,ego,False,True,False,False,False,True,-0.086,11.770,,19.770,-0.090,0,infs
25,ours,True,False,False,False,False,False,0.363,1.630,13.390,4.370,0.360,0,15.0
26,ego,True,False,False,False,False,False,0.270,1.130,8.400,8.360,0.270,0,15.3
26,ours,True,False,False,False,False,False,0.295,1.910,2.240,1.500,0.300,215,17.6
27,ego,True,False,False,False,False,False,0.450,2.000,,0.660,0.450,0,15.7
27,ours,True,False,False,False,False,False,0.510,1.780,,1.660,0.510,0,15.8
28,ego,True,False,False,False,False,False,0.022,0.020,,1.890,0.280,0,13.0
28,ours,True,False,False,False,False,False,1.289,1.330,,10.430,1.290,0,15.4
29,ego,True,False,False,False,False,False,0.277,0.620,0.540,2.650,0.280,0,15.5
29,ours,True,False,False,False,False,False,0.115,1.890,0.120,2.170,0.350,0,16.1
30,ego,True,False,False,False,False,False,0.350,0.400,,3.680,0.350,0,14.8
30,ours,True,False,False,False,False,False,0.350,1.460,,3.790,0.350,0,14.7
31,ego,False,True,False,False,False,True,-0.261,2.390,5.770,8.530,-0.260,0,infs
31,ours,True,False,False,False,False,False,0.310,2.290,5.770,1.880,0.310,0,14.6
32,ego,False,True,False,False,False,True,-0.232,0.560,5.560,10.600,-0.230,0,infs
32,ours,True,False,False,False,False,False,0.110,1.170,5.660,1.480,0.110,179,14.3
33,ego,True,False,False,False,False,False,0.314,2.070,,3.100,0.310,0,15.3
33,ours,True,False,False,False,False,False,0.314,2.070,,3.100,0.310,0,15.3
34,ego,True,False,False,False,False,False,0.284,0.790,26.770,5.120,0.280,0,14.6
34,ours,True,False,False,False,False,False,0.297,1.850,26.770,6.260,0.300,0,14.6
